experiment_name,base_experiment_name,mechanism,privacy_enabled,privacy_accountant,privacy_accountant_note,seed,best_val_accuracy,best_val_round,test_accuracy_at_best_val,test_f1_at_best_val,test_auc_at_best_val,test_balanced_accuracy_at_best_val,test_sensitivity_at_best_val,test_specificity_at_best_val,test_confidence_accuracy_top30_at_best_val,test_confidence_accuracy_top50_at_best_val,test_confidence_accuracy_ge90_at_best_val,test_confidence_coverage_ge90_at_best_val,best_test_accuracy,max_test_accuracy_observed,reference_best_accuracy,meets_reference_best_accuracy,accuracy_gap_to_reference,test_selection_rule,threshold_tuning,threshold_metric,decision_threshold_at_best_val,final_test_auc,final_test_f1,final_test_balanced_accuracy,final_test_sensitivity,final_test_specificity,rounds,target_val_accuracy,rounds_to_target_accuracy,final_mean_epsilon,final_cumulative_epsilon,max_mean_epsilon,max_cumulative_epsilon,avg_round_time_sec,total_communication_mb,avg_round_communication_mb,model_size_mb,classes,config,seed_count,multi_seed,best_val_accuracy_mean,best_val_accuracy_std,test_accuracy_at_best_val_mean,test_accuracy_at_best_val_std,test_auc_at_best_val_mean,test_auc_at_best_val_std,test_f1_at_best_val_mean,test_f1_at_best_val_std,test_balanced_accuracy_at_best_val_mean,test_balanced_accuracy_at_best_val_std,test_sensitivity_at_best_val_mean,test_sensitivity_at_best_val_std,test_specificity_at_best_val_mean,test_specificity_at_best_val_std,test_confidence_accuracy_top30_at_best_val_mean,test_confidence_accuracy_top30_at_best_val_std,test_confidence_accuracy_top50_at_best_val_mean,test_confidence_accuracy_top50_at_best_val_std,test_confidence_accuracy_ge90_at_best_val_mean,test_confidence_accuracy_ge90_at_best_val_std,best_test_accuracy_mean,best_test_accuracy_std,max_test_accuracy_observed_mean,max_test_accuracy_observed_std,final_test_auc_mean,final_test_auc_std,final_test_f1_mean,final_test_f1_std,final_test_balanced_accuracy_mean,final_test_balanced_accuracy_std,rounds_to_target_accuracy_mean,rounds_to_target_accuracy_std,avg_round_time_sec_mean,avg_round_time_sec_std,total_communication_mb_mean,total_communication_mb_std,avg_round_communication_mb_mean,avg_round_communication_mb_std
ham10000_gaussian,ham10000_gaussian,gaussian,True,gaussian_approx,当前展示的是 Gaussian 机制的近似 epsilon。,2026,0.8841893252769386,24,0.8836509528585758,0.7999044956261765,0.8945536138403462,0.7728036950923773,0.5870646766169154,0.9585427135678392,0.9833333333333332,0.9679358717434868,0.9471488178025036,0.7211634904714143,0.8836509528585758,0.8846539618856569,0.9078,False,0.024149047141424296,validation_best_accuracy_then_auc_then_f1,True,f1,0.4599999999999999,0.8815095377384434,0.7753001598120501,0.7534563364084101,0.5621890547263682,0.9447236180904522,40,0.8,1.0,54.374894294275734,2174.995771771028,54.37489429427573,2174.995771771028,21.980852937698366,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ham10000_gaussian.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_literature_target,ham10000_literature_target,none,False,not_applicable,无隐私机制，不计算 epsilon。,"2026,2027,2028",0.9039946290701577,28,0.8769642260113675,0.787414978521702,0.9298190788103037,0.7605585972982657,0.5655058043117744,0.9556113902847572,0.998888888888889,0.9893119572478289,0.9441654414042916,0.7923771313941825,0.8769642260113675,0.8866599799398195,0.9078,False,0.030835773988632575,validation_best_accuracy_then_auc_then_f1,True,accuracy,0.835,0.9274211021942215,0.7769833044759693,0.745867605023459,0.4925373134328358,0.9773869346733668,60,0.8,1.0,,,,,165.2552510990037,22639.263610839844,377.32106018066406,188.66053009033203,"benign,malignant",configs/generated/multi_seed/ham10000_literature_target_seed2026.yaml,3,True,0.9039946290701577,0.0029071010533213973,0.8769642260113675,0.004947726040437552,0.9298190788103037,0.004509345160920037,0.787414978521702,0.009086879690999791,0.7605585972982657,0.009660510363615881,0.5655058043117744,0.02010672579267357,0.9556113902847572,0.005230316581573211,0.998888888888889,0.0019245008972986687,0.9893119572478289,0.004628058270056997,0.9441654414042916,0.017271636841511187,0.8769642260113675,0.004947726040437552,0.8866599799398195,0.0026537124484097923,0.9274211021942215,0.004107081937506624,0.7769833044759693,0.0015915804650229312,0.745867605023459,0.009568007526982555,1.0,0.0,165.2552510990037,59.05881653860855,22639.263610839844,0.0,377.32106018066406,0.0
ham10000_ablation_clients_3,ham10000_ablation_clients_3,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.892245720040282,39,0.876629889669007,0.7793473860354646,0.9023381834545864,0.7460936523413085,0.527363184079602,0.964824120603015,0.99,0.9759519038076152,0.9294554455445544,0.8104312938816449,0.876629889669007,0.8776328986960883,0.9078,False,0.03117011033099304,validation_best_accuracy_then_auc_then_f1,True,f1,0.3499999999999999,0.8932442061051525,0.7895036424103923,0.7690098502462561,0.5920398009950248,0.9459798994974874,40,0.8,3.0,36.93291747304373,1477.3166989217495,36.93291747304373,1477.3166989217495,20.896654254198076,10242.167358398438,256.05418395996094,42.675697326660156,"benign,malignant",configs/ablations/ham10000_ablation_clients_3.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_nodp,ham10000_nodp,none,False,not_applicable,无隐私机制，不计算 epsilon。,2026,0.8801611278952669,17,0.8756268806419257,0.7703720764361497,0.8971130528263207,0.7324495612390309,0.4925373134328358,0.9723618090452262,0.9966666666666668,0.9799599198396792,0.9583333333333334,0.649949849548646,0.8756268806419257,0.8866599799398195,0.9078,False,0.03217311935807432,validation_best_accuracy_then_auc_then_f1,True,f1,0.59,0.9020569264231606,0.7884995293212946,0.7727036925923148,0.6069651741293532,0.9384422110552764,40,0.8,1.0,,,,,21.637474370002746,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ham10000_nodp.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_ablation_clip_3_0,ham10000_ablation_clip_3_0,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.8821752265861027,31,0.8756268806419257,0.7861048056693611,0.8806970174254356,0.7603408835220881,0.5671641791044776,0.9535175879396984,0.9833333333333332,0.9759519038076152,0.9288590604026844,0.7472417251755266,0.8756268806419257,0.8756268806419257,0.9078,False,0.03217311935807432,validation_best_accuracy_then_auc_then_f1,True,f1,0.5599999999999999,0.8874596864921622,0.7754219543147208,0.7713474086852172,0.6268656716417911,0.9158291457286432,40,0.8,4.0,54.374894294275734,2174.995771771028,54.37489429427573,2174.995771771028,23.489863568544386,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ablations/ham10000_ablation_clip_3_0.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_ablation_clip_1_0,ham10000_ablation_clip_1_0,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.8821752265861027,37,0.8736208625877633,0.7734254382800664,0.8989068476711919,0.7404903872596815,0.5174129353233831,0.96356783919598,1.0,0.9739478957915833,0.9574468085106383,0.6599799398194583,0.8736208625877633,0.8736208625877633,0.9078,False,0.03417913741223677,validation_best_accuracy_then_auc_then_f1,True,f1,0.6399999999999999,0.9021194279856997,0.7898772229347231,0.7776538163454085,0.6218905472636815,0.9334170854271356,40,0.8,10.0,54.374894294275734,2174.995771771028,54.37489429427573,2174.995771771028,23.251170128583908,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ablations/ham10000_ablation_clip_1_0.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_ablation_alpha_1_0,ham10000_ablation_alpha_1_0,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.8851963746223565,22,0.8736208625877633,0.7712303321678322,0.8906941423535588,0.7367715442886072,0.5074626865671642,0.9660804020100504,0.98,0.9739478957915833,0.9506531204644412,0.691073219658977,0.8736208625877633,0.8776328986960883,0.9078,False,0.03417913741223677,validation_best_accuracy_then_auc_then_f1,True,f1,0.6,0.8981255781394534,0.7825786020404293,0.7794382359558989,0.6417910447761194,0.9170854271356784,40,0.8,2.0,54.374894294275734,2174.995771771028,54.37489429427573,2174.995771771028,23.417431151866914,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ablations/ham10000_ablation_alpha_1_0.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_hybrid_noise_high,ham10000_hybrid_noise_high,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.8801611278952669,40,0.8706118355065195,0.7652126290424163,0.9009975249381236,0.7311682792069801,0.4975124378109453,0.964824120603015,0.9933333333333332,0.9759519038076152,0.9541029207232268,0.7211634904714143,0.8706118355065195,0.8816449348044132,0.9078,False,0.0371881644934805,validation_best_accuracy_then_auc_then_f1,True,f1,0.7799999999999999,0.9009975249381235,0.7652126290424163,0.7311682792069801,0.4975124378109453,0.964824120603015,40,0.8,3.0,27.187447147137867,1087.497885885514,27.187447147137867,1087.497885885514,22.31966949701309,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ham10000_hybrid_noise_high.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_laplace,ham10000_laplace,laplace,True,not_available,当前版本未实现 Laplace 机制的严格 epsilon 会计。,2026,0.8902316213494461,22,0.8696088264794383,0.7842996937824525,0.8955130128253207,0.7677285682142053,0.5970149253731343,0.9384422110552764,0.9866666666666668,0.9739478957915833,0.9473684210526316,0.724172517552658,0.8696088264794383,0.8856569709127382,0.9078,False,0.03819117352056178,validation_best_accuracy_then_auc_then_f1,True,f1,0.3799999999999999,0.8885878396959924,0.7858106540401654,0.7615721643041076,0.572139303482587,0.951005025125628,40,0.8,1.0,,,,,21.900564181804658,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ham10000_laplace.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_ablation_clients_10,ham10000_ablation_clients_10,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.877139979859013,39,0.8696088264794383,0.7616446719924674,0.8946098652466311,0.7268212955323883,0.4875621890547263,0.9660804020100504,0.9966666666666668,0.9719438877755512,0.8961038961038961,0.8495486459378134,0.8696088264794383,0.8706118355065195,0.9078,False,0.03819117352056178,validation_best_accuracy_then_auc_then_f1,True,f1,0.18,0.8878690717267932,0.7646264975334742,0.7373246831170779,0.5223880597014925,0.9522613065326632,40,0.8,2.0,75.03956054310657,3001.582421724264,75.03956054310657,3001.582421724264,27.53500321507454,34140.557861328125,853.5139465332031,42.675697326660156,"benign,malignant",configs/ablations/ham10000_ablation_clients_10.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
