round,selected_clients,selected_client_count,decision_threshold,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_balanced_accuracy,val_sensitivity,val_specificity,val_confidence_accuracy_top30,val_confidence_accuracy_top50,val_confidence_accuracy_ge90,val_confidence_coverage_ge90,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_balanced_accuracy,test_sensitivity,test_specificity,test_confidence_accuracy_top30,test_confidence_accuracy_top50,test_confidence_accuracy_ge90,test_confidence_coverage_ge90,mean_epsilon,cumulative_epsilon,mean_hybrid_alpha,mean_update_norm,round_time_sec,round_communication_bytes,round_communication_mb,cumulative_communication_bytes,cumulative_communication_mb
1,"0,1,2,3,4",5,0.5299999999999999,0.15520685791703254,0.6475450221865559,0.7210473313192346,0.6550225869857581,0.7366737739872068,0.6574006838011373,0.7724209639632525,0.7366737739872068,0.7619047619047619,0.7114427860696517,0.7281879194630873,0.704225352112676,0.0,0.0,0.6540054734516049,0.6870611835506519,0.6103045061647141,0.6571258031450786,0.6109404548683723,0.7142616065401635,0.6571258031450786,0.6069651741293532,0.707286432160804,0.7033333333333334,0.6933867735470942,0.0,0.0,49.30195583907374,49.30195583907374,0.39736635114772645,12.653767769541115,25.779304027557373,447487120,426.75697326660156,447487120,426.75697326660156
2,"0,1,2,3,4",5,0.63,0.12274134218632068,0.5158416041194612,0.8136958710976838,0.7033250152963901,0.7230612808971018,0.7120381096294531,0.8499664376530047,0.7230612808971018,0.5767195767195767,0.8694029850746269,0.9429530201342282,0.8893360160965795,1.0,0.02416918429003021,0.5172073838703611,0.8004012036108324,0.6867202312292007,0.6760419010475263,0.6809774420373399,0.8205611390284757,0.6760419010475263,0.46766169154228854,0.8844221105527639,0.93,0.8817635270541082,1.0,0.0320962888665998,49.30195583907374,98.60391167814748,0.4129202178494945,8.928919758584986,23.096422910690308,447487120,426.75697326660156,894974240,853.5139465332031
3,"0,1,2,3,4",5,0.71,0.11899318046104138,0.5107350575119587,0.8318227593152064,0.7326286398085361,0.7686567164179104,0.7474294556736265,0.8834794282555477,0.7686567164179104,0.6666666666666666,0.8706467661691543,0.9899328859060402,0.8993963782696177,0.992831541218638,0.2809667673716012,0.4966861032315697,0.8084252758274825,0.7076489174822622,0.7275525638140954,0.7163669131720249,0.8648934973374334,0.7275525638140954,0.5920398009950248,0.8630653266331658,0.9933333333333333,0.9078156312625251,0.9963235294117647,0.2728184553660983,49.30195583907374,147.90586751722122,0.441127563858946,5.471707483240391,23.001047611236572,447487120,426.75697326660156,1342461360,1280.2709197998047
4,"0,1,2,3,4",5,0.74,0.10376254522106201,0.4752181284617321,0.850956696878147,0.7590604261264408,0.7440476190476191,0.7510806086638393,0.8903169338492721,0.7440476190476191,0.5714285714285714,0.9166666666666666,0.9932885906040269,0.9134808853118712,0.9933110367892977,0.3011077542799597,0.45112289994984955,0.8505516549648947,0.7750675155776166,0.727902572564314,0.7469133593996236,0.8814689117227931,0.727902572564314,0.5223880597014925,0.9334170854271356,0.9966666666666667,0.9238476953907816,0.9966216216216216,0.29689067201604813,49.30195583907374,197.20782335629497,0.5044268942413664,2.3821382358404293,23.031596660614014,447487120,426.75697326660156,1789948480,1707.0278930664062
5,"0,1,2,3,4",5,0.7499999999999999,0.09136594917642622,0.470072981574144,0.8539778449144008,0.7651731601731602,0.7418660664929322,0.7524129357083533,0.892607070467767,0.7418660664929322,0.5608465608465608,0.9228855721393034,0.9966442953020134,0.9255533199195171,0.9969604863221885,0.33131923464249746,0.44841996693204617,0.8415245737211635,0.7565399321838251,0.7222493062326558,0.7367406011016632,0.8808501462536562,0.7222493062326558,0.5223880597014925,0.9221105527638191,1.0,0.9318637274549099,0.9940298507462687,0.33600802407221664,49.30195583907374,246.5097791953687,0.5367668835149828,1.6311037272482456,22.841195583343506,447487120,426.75697326660156,2237435600,2133.784866333008
6,"0,1,2,3,4",5,0.74,0.08801380102951331,0.4538261974446123,0.8640483383685801,0.7845968712394704,0.7521321961620469,0.766407904022583,0.8959369817578773,0.7521321961620469,0.5714285714285714,0.9328358208955224,0.9932885906040269,0.93158953722334,0.991044776119403,0.337361530715005,0.42891957121364094,0.8525576730190572,0.778222072879331,0.7328776969424236,0.751389706418688,0.8886909672741818,0.7328776969424236,0.5323383084577115,0.9334170854271356,0.9966666666666667,0.9378757515030061,0.9968553459119497,0.31895687061183553,49.30195583907374,295.81173503444245,0.5438186909122471,1.4933560237252785,22.70860719680786,447487120,426.75697326660156,2684922720,2560.5418395996094
7,"0,1,2,3,4",5,0.7,0.0802482958115238,0.4702359878524673,0.8479355488418933,0.7552624081144225,0.794795861960041,0.7716278311779498,0.8977894916949642,0.794795861960041,0.708994708994709,0.8805970149253731,0.9899328859060402,0.9215291750503019,0.99079754601227,0.3282980866062437,0.44152281061935805,0.8445336008024072,0.7585146835146834,0.7761975299382484,0.7666455764058874,0.896081777044426,0.7761975299382484,0.6616915422885572,0.8907035175879398,0.99,0.9298597194388778,0.990625,0.320962888665998,49.30195583907374,345.1136908735162,0.5430198620316209,1.5092127674343607,22.948567867279053,447487120,426.75697326660156,3132409840,2987.298812866211
8,"0,1,2,3,4",5,0.6399999999999999,0.07480026827161365,0.4064503772501259,0.8590130916414904,0.7709961599277163,0.8158019426676143,0.7893661895007333,0.9048902313827687,0.8158019426676143,0.746031746031746,0.8855721393034826,1.0,0.9617706237424547,0.9947916666666666,0.3867069486404834,0.3953158303034102,0.8405215646940822,0.7531397577167886,0.7774038100952524,0.7638865926405862,0.8934348358708968,0.7774038100952524,0.6716417910447762,0.8831658291457286,0.9966666666666667,0.9679358717434869,0.9895287958115183,0.3831494483450351,49.30195583907374,394.41564671258993,0.5456046189404222,1.4659538680734294,23.092708110809326,447487120,426.75697326660156,3579896960,3414.0557861328125
9,"0,1,2,3,4",5,0.69,0.0740000427960045,0.41568026970040284,0.8559919436052367,0.7662004525593009,0.7694168048645661,0.767787671400888,0.8969010766274448,0.7694168048645661,0.6296296296296297,0.9092039800995025,0.9932885906040269,0.9577464788732394,0.9893617021276596,0.37865055387714,0.38556342856695086,0.8585757271815446,0.7818593882475706,0.7701161279031976,0.7757130571993369,0.8985005875146879,0.7701161279031976,0.6218905472636815,0.9183417085427136,0.9966666666666667,0.9639278557114228,0.9972527472527473,0.3650952858575727,49.30195583907374,443.7176025516637,0.5426903451522029,1.5094766850846,23.017125368118286,447487120,426.75697326660156,4027384080,3840.812759399414
10,"0,1,2,3,4",5,0.5199999999999999,0.06564094020263482,0.3371638579431017,0.8479355488418933,0.7550653594771242,0.7927722498618022,0.7708250225823166,0.9018202637605623,0.7927722498618022,0.7037037037037037,0.8818407960199005,1.0,0.9839034205231388,0.9877750611246944,0.4118831822759315,0.33300340474548645,0.8495486459378134,0.7658108643933386,0.7849164979124479,0.7745649578524656,0.8965661641541037,0.7849164979124479,0.6766169154228856,0.8932160804020101,0.9966666666666667,0.9839679358717435,0.9926470588235294,0.4092276830491474,49.30195583907374,493.0195583907374,0.5454450829997375,1.4658295913447803,22.971351146697998,447487120,426.75697326660156,4474871200,4267.569732666016
