round,selected_clients,selected_client_count,decision_threshold,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_balanced_accuracy,val_sensitivity,val_specificity,val_confidence_accuracy_top30,val_confidence_accuracy_top50,val_confidence_accuracy_ge90,val_confidence_coverage_ge90,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_balanced_accuracy,test_sensitivity,test_specificity,test_confidence_accuracy_top30,test_confidence_accuracy_top50,test_confidence_accuracy_ge90,test_confidence_coverage_ge90,mean_epsilon,cumulative_epsilon,mean_hybrid_alpha,mean_update_norm,round_time_sec,round_communication_bytes,round_communication_mb,cumulative_communication_bytes,cumulative_communication_mb
1,"0,1,2",3,0.62,0.1906068613637404,0.6863250271431269,0.7693856998992951,0.6492363877822045,0.6774855879333491,0.6595613763243822,0.7779324278080497,0.6774855879333491,0.5291005291005291,0.8258706467661692,0.6409395973154363,0.6861167002012073,1.0,0.0010070493454179255,0.6930968687311936,0.7472417251755266,0.6185357064228688,0.6278750718767969,0.6225754116091816,0.7247399934998375,0.6278750718767969,0.42786069651741293,0.8278894472361809,0.62,0.6653306613226453,0.0,0.0,36.93291747304373,36.93291747304373,0.39091303154019696,14.708164738414757,23.26076626777649,268492272,256.05418395996094,268492272,256.05418395996094
2,"0,1,2",3,0.59,0.1320003549280581,0.5356646919058409,0.7784491440080564,0.6891566321864009,0.7640270867882808,0.7059757738896366,0.8516807496907,0.7640270867882808,0.7407407407407407,0.7873134328358209,0.9295302013422819,0.8672032193158954,0.9473684210526315,0.038267875125881166,0.5357654996238717,0.7713139418254764,0.6714073219598081,0.7117490437260932,0.6844936708860759,0.8248299957498938,0.7117490437260932,0.6119402985074627,0.8115577889447236,0.9033333333333333,0.8577154308617234,0.9705882352941176,0.034102306920762285,36.93291747304373,73.86583494608746,0.4046791966203305,10.388534101647434,21.295361042022705,268492272,256.05418395996094,536984544,512.1083679199219
3,"0,1,2",3,0.7,0.11505269171021641,0.44191665879909364,0.8479355488418933,0.7532869069912609,0.7563472320935007,0.7547967718988398,0.8849337966253388,0.7563472320935007,0.6084656084656085,0.904228855721393,0.9932885906040269,0.9416498993963782,0.9887640449438202,0.35850956696878145,0.4402044022693079,0.8194583751253761,0.718744361096074,0.7121490537263432,0.7153236040609137,0.8637122178054452,0.7121490537263432,0.5323383084577115,0.8919597989949749,1.0,0.9338677354709419,0.9941348973607038,0.3420260782347041,36.93291747304373,110.79875241913119,0.4316091990854816,6.219342293649135,20.987839937210083,268492272,256.05418395996094,805476816,768.1625518798828
4,"0,1,2",3,0.7599999999999999,0.09362667802049261,0.42150596165344917,0.8640483383685801,0.7891452102990565,0.7379669114743741,0.7587693647620264,0.888744110137145,0.7379669114743741,0.5343915343915344,0.9415422885572139,0.9832214765100671,0.9476861167002012,0.9794344473007712,0.391742195367573,0.4112594130046389,0.8485456369107321,0.7702742662822504,0.728505712642816,0.7457204000317539,0.8795063626590665,0.728505712642816,0.527363184079602,0.9296482412060302,0.9933333333333333,0.9639278557114228,0.9829268292682927,0.4112337011033099,36.93291747304373,147.73166989217492,0.4934119556850823,2.7032100978022364,20.808783531188965,268492272,256.05418395996094,1073969088,1024.2167358398438
5,"0,1,2",3,0.63,0.0908916883500185,0.36034467837361533,0.8499496475327291,0.7565152933832708,0.759614625286267,0.7580444967743518,0.8943049303745823,0.759614625286267,0.6137566137566137,0.9054726368159204,0.9966442953020134,0.9698189134808853,0.9863325740318907,0.4420946626384693,0.3627934585005015,0.843530591775326,0.7578551457861802,0.7420998024950624,0.7494199984533292,0.8785375884397109,0.7420998024950624,0.572139303482587,0.9120603015075377,0.99,0.9739478957915831,0.9821826280623608,0.45035105315947843,36.93291747304373,184.66458736521867,0.5244547147272137,1.8833096383246837,20.71553635597229,268492272,256.05418395996094,1342461360,1280.2709197998047
6,"0,1,2",3,0.61,0.07652276486903864,0.3825125487789527,0.8408862034239678,0.7463247605652669,0.7904426281291952,0.763912964969303,0.8929097896759588,0.7904426281291952,0.708994708994709,0.8718905472636815,1.0,0.96579476861167,0.9877750611246944,0.4118831822759315,0.3705116815289619,0.8425275827482447,0.7561050960829885,0.7823789344733618,0.7676415008914085,0.8882503312582816,0.7823789344733618,0.681592039800995,0.8831658291457286,1.0,0.9719438877755511,0.9837209302325581,0.4312938816449348,36.93291747304373,221.5975048382624,0.5234436360377653,1.903340564406531,20.90424633026123,268492272,256.05418395996094,1610953632,1536.3251037597656
7,"0,1,2",3,0.5599999999999999,0.07642931555612116,0.3581678192661128,0.8408862034239678,0.7472263374485597,0.7965134644239122,0.7662930787930788,0.898378477980468,0.7965134644239122,0.7248677248677249,0.8681592039800995,0.9966442953020134,0.9758551307847082,0.9829424307036247,0.47230614300100704,0.35949302987086257,0.8345035105315948,0.7450022537750732,0.7717755443886096,0.7566180854636617,0.882740818520463,0.7717755443886096,0.6666666666666666,0.8768844221105527,0.9966666666666667,0.9779559118236473,0.9779559118236473,0.5005015045135406,36.93291747304373,258.53042231130615,0.52329620585703,1.90341445875241,20.698045253753662,268492272,256.05418395996094,1879445904,1792.3792877197266
8,"0,1,2",3,0.63,0.06663225862535903,0.3577946012713998,0.8590130916414904,0.7705171510104245,0.8056838821764194,0.7856244063112965,0.9105695069625417,0.8056838821764194,0.7195767195767195,0.8917910447761194,0.9966442953020134,0.9758551307847082,0.9806451612903225,0.46827794561933533,0.37692912722542626,0.8345035105315948,0.743408244201418,0.7531813295332384,0.7480599675627495,0.8807970199254981,0.7531813295332384,0.6169154228855721,0.8894472361809045,0.9966666666666667,0.9679358717434869,0.9710743801652892,0.485456369107322,36.93291747304373,295.4633397843499,0.5223902789168408,1.925377506826966,20.632256507873535,268492272,256.05418395996094,2147938176,2048.4334716796875
9,"0,1,2",3,0.4699999999999999,0.05788200961336452,0.3117058668491944,0.8459214501510574,0.7547466984195714,0.8097409776514254,0.7755560906645316,0.9076838032061912,0.8097409776514254,0.7513227513227513,0.8681592039800995,1.0,0.9899396378269618,0.988527724665392,0.526686807653575,0.32391902269307926,0.8264794383149449,0.7352170105631876,0.7686098402460062,0.7489699356564541,0.893491087277182,0.7686098402460062,0.6716417910447762,0.8655778894472361,0.9966666666666667,0.9819639278557114,0.9746835443037974,0.5546639919759278,36.93291747304373,332.39625725739364,0.5251556409004027,1.8588718284176242,20.787273168563843,268492272,256.05418395996094,2416430448,2304.4876556396484
10,"0,1,2",3,0.35999999999999993,0.0557387957010461,0.3027373253398791,0.8449144008056395,0.7529602750190985,0.8050718629076838,0.7729672430994347,0.9017050988444023,0.8050718629076838,0.7407407407407407,0.8694029850746269,0.9966442953020134,0.9859154929577465,0.978984238178634,0.5750251762336355,0.3239263689506018,0.835506519558676,0.7465058535379638,0.7742631065776644,0.7584958052699988,0.8826189404735119,0.7742631065776644,0.6716417910447762,0.8768844221105527,0.9966666666666667,0.9739478957915831,0.9508196721311475,0.6118355065195586,36.93291747304373,369.3291747304374,0.5253731628914201,1.8620827836405862,20.614648580551147,268492272,256.05418395996094,2684922720,2560.5418395996094
