round,selected_clients,selected_client_count,decision_threshold,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_balanced_accuracy,val_sensitivity,val_specificity,val_confidence_accuracy_top30,val_confidence_accuracy_top50,val_confidence_accuracy_ge90,val_confidence_coverage_ge90,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_balanced_accuracy,test_sensitivity,test_specificity,test_confidence_accuracy_top30,test_confidence_accuracy_top50,test_confidence_accuracy_ge90,test_confidence_coverage_ge90,mean_epsilon,cumulative_epsilon,mean_hybrid_alpha,mean_update_norm,round_time_sec,round_communication_bytes,round_communication_mb,cumulative_communication_bytes,cumulative_communication_mb
1,0,1,0.6699999999999999,0.1224371025189061,0.4915861223879658,0.8096676737160121,0.710328317373461,0.7650931848693043,0.7289021140137371,0.8697155755613467,0.7650931848693043,0.6931216931216931,0.8370646766169154,0.9966442953020134,0.89738430583501,0.993421052631579,0.30614300100704933,0.4524317581651204,0.8365095285857572,0.7488588473537299,0.7841883547088677,0.7634803440000116,0.8897316182904572,0.7841883547088677,0.6965174129353234,0.871859296482412,1.0,0.9378757515030061,0.9967948717948718,0.31293881644934807,,,,17.29300617073965,20.165178537368774,89497424,85.35139465332031,89497424,85.35139465332031
2,0,1,0.7799999999999999,0.08891874855088297,0.5377240291414904,0.8529707955689829,0.7622573675667026,0.8019525388928375,0.7788027292256615,0.8977467161546763,0.8019525388928375,0.7195767195767195,0.8843283582089553,0.9731543624161074,0.8812877263581489,0.9538904899135446,0.34944612286002014,0.5124967186716399,0.8194583751253761,0.7183718371837184,0.7084302107552689,0.7131210435449837,0.8788844721118028,0.7084302107552689,0.5223880597014925,0.8944723618090452,0.98,0.8817635270541082,0.9615384615384616,0.33901705115346037,,,,2.966759967784336,18.946909189224243,89497424,85.35139465332031,178994848,170.70278930664062
3,0,1,0.6599999999999999,0.07862159397928886,0.36528944801107754,0.8580060422960725,0.7690345988011358,0.8030383795309168,0.7837052485227667,0.906074784806128,0.8030383795309168,0.7142857142857143,0.8917910447761194,1.0,0.9778672032193159,0.9929906542056075,0.4310171198388721,0.34506987760155466,0.8655967903711134,0.7953600639150689,0.7726536913422836,0.7830440544086887,0.9031507037675942,0.7726536913422836,0.6169154228855721,0.928391959798995,1.0,0.9879759519038076,0.9932885906040269,0.4483450351053159,,,,2.936831477383659,18.85781478881836,89497424,85.35139465332031,268492272,256.05418395996094
4,0,1,0.7499999999999999,0.06722467967979262,0.4748038515703676,0.850956696878147,0.7603936605884376,0.8088032061912659,0.7796060129809365,0.9048869409565927,0.8088032061912659,0.7407407407407407,0.8768656716417911,1.0,0.9336016096579477,0.9425531914893617,0.473313192346425,0.4432850553613967,0.8455366098294884,0.7603958269754615,0.7879821995549889,0.7724634846113719,0.9019194229855746,0.7879821995549889,0.6915422885572139,0.8844221105527639,1.0,0.9318637274549099,0.9348268839103869,0.49247743229689067,,,,2.8074970854017627,18.958815574645996,89497424,85.35139465332031,357989696,341.40557861328125
5,0,1,0.7,0.058074893743913863,0.3600875070808157,0.8680765357502518,0.7897291115717247,0.7667614309405354,0.7772906026951187,0.9056832240911843,0.7667614309405354,0.6031746031746031,0.9303482587064676,1.0,0.9637826961770624,0.9728506787330317,0.44511581067472306,0.3346592511910732,0.8625877632898696,0.7939715089896031,0.7558938973474337,0.7722092974775902,0.912044676116903,0.7558938973474337,0.5771144278606966,0.9346733668341709,1.0,0.9879759519038076,0.9894736842105263,0.4764292878635908,,,,2.880947717545858,18.930951833724976,89497424,85.35139465332031,447487120,426.75697326660156
6,0,1,0.7599999999999999,0.049855777625215016,0.3404156242132427,0.8831822759315207,0.8313105583857756,0.7619245044618179,0.7892182696530523,0.9096416067809103,0.7619245044618179,0.5661375661375662,0.9577114427860697,1.0,0.9839034205231388,0.9856262833675564,0.4904330312185297,0.3161400706024323,0.8786359077231695,0.8466018567174636,0.7473499337483438,0.7818944772587156,0.915507262681567,0.7473499337483438,0.527363184079602,0.9673366834170855,1.0,0.9879759519038076,0.9882583170254403,0.5125376128385155,,,,2.9122891646318334,18.79394245147705,89497424,85.35139465332031,536984544,512.1083679199219
7,0,1,0.7799999999999999,0.04097792449723523,0.47195013532225577,0.8499496475327291,0.7567505929574896,0.7778271341704177,0.7663392886753746,0.8941733133275422,0.7778271341704177,0.6613756613756614,0.8942786069651741,0.9832214765100671,0.9275653923541247,0.9347368421052632,0.4783484390735146,0.43967179859892175,0.8545636910732196,0.7734646336298179,0.7824789369734244,0.7778018576327248,0.8932785819645491,0.7824789369734244,0.6616915422885572,0.9032663316582915,0.9866666666666667,0.9458917835671342,0.9443339960238568,0.5045135406218656,,,,3.069588630806239,18.88410210609436,89497424,85.35139465332031,626481968,597.4597625732422
8,0,1,0.5399999999999999,0.04097357457579111,0.3565898791540785,0.8348439073514602,0.741710370495686,0.800876569533286,0.7628967445110943,0.892702492826871,0.800876569533286,0.746031746031746,0.8557213930348259,1.0,0.9798792756539235,0.9765625,0.5156092648539778,0.3398273433581996,0.831494483450351,0.7442633294773373,0.7903447586189655,0.7619063864628821,0.9022850571264283,0.7903447586189655,0.7213930348258707,0.8592964824120602,1.0,0.9839679358717435,0.974169741697417,0.5436308926780341,,,,2.9463805803549565,18.875459671020508,89497424,85.35139465332031,715979392,682.8111572265625
9,0,1,0.72,0.03531240056666351,0.33738070792421954,0.878147029204431,0.8039491334805762,0.7952400694938009,0.7994659234100789,0.9210199004975125,0.7952400694938009,0.6613756613756614,0.9291044776119403,0.9932885906040269,0.9859154929577465,0.9861111111111112,0.5075528700906344,0.35498120337575223,0.8505516549648947,0.7744997013142174,0.7297619940498512,0.7480072534447926,0.8960567764194105,0.7297619940498512,0.527363184079602,0.9321608040201005,0.9966666666666667,0.9739478957915831,0.9661654135338346,0.5336008024072216,,,,2.8058004274025126,19.255469799041748,89497424,85.35139465332031,805476816,768.1625518798828
10,0,1,0.7799999999999999,0.03270973716523046,0.3463974383182276,0.8811681772406847,0.8155222115455687,0.7809168443496801,0.7962786524980527,0.9143074310984759,0.7809168443496801,0.6190476190476191,0.9427860696517413,1.0,0.9778672032193159,0.956953642384106,0.608257804632427,0.3440690724517302,0.8655967903711134,0.8012019831987172,0.7559188979724493,0.7748297714555383,0.9089164729118229,0.7559188979724493,0.572139303482587,0.9396984924623115,0.9966666666666667,0.9839679358717435,0.9638752052545156,0.6108324974924775,,,,2.8231091322889594,18.985130310058594,89497424,85.35139465332031,894974240,853.5139465332031
