round,selected_clients,selected_client_count,decision_threshold,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_balanced_accuracy,val_sensitivity,val_specificity,val_confidence_accuracy_top30,val_confidence_accuracy_top50,val_confidence_accuracy_ge90,val_confidence_coverage_ge90,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_balanced_accuracy,test_sensitivity,test_specificity,test_confidence_accuracy_top30,test_confidence_accuracy_top50,test_confidence_accuracy_ge90,test_confidence_coverage_ge90,mean_epsilon,cumulative_epsilon,mean_hybrid_alpha,mean_update_norm,round_time_sec,round_communication_bytes,round_communication_mb,cumulative_communication_bytes,cumulative_communication_mb
1,"0,1,2,3,4",5,0.05,0.9694004724962613,,0.8096676737160121,0.40483383685800606,0.5,0.44741235392320533,0.0,0.5,0.0,1.0,0.8355704697986577,0.6197183098591549,0.0,0.0,,0.79839518555667,0.399197592778335,0.5,0.44394868934746234,0.0,0.5,0.0,1.0,0.8333333333333334,0.5971943887775552,0.0,0.0,54.374894294275734,54.374894294275734,,11.945627904177963,24.904308557510376,447487120,426.75697326660156,447487120,426.75697326660156
2,"0,1,2,3,4",5,0.63,0.4875964499162704,0.5447881262588117,0.798590130916415,0.6931844888366627,0.7380162678670141,0.708988816730359,0.8482850298770696,0.7380162678670141,0.6402116402116402,0.835820895522388,0.912751677852349,0.8390342052313883,1.0,0.019133937562940583,0.5430074402896189,0.7773319959879639,0.6604746980314822,0.6708917722943073,0.6651933200217826,0.8189548488712218,0.6708917722943073,0.4925373134328358,0.8492462311557789,0.9166666666666666,0.8537074148296593,1.0,0.01805416248746239,54.374894294275734,108.74978858855147,,8.651364909720447,22.243027210235596,447487120,426.75697326660156,894974240,853.5139465332031
3,"0,1,2,3,4",5,0.73,0.26811969814053394,0.49145163606180764,0.8449144008056395,0.7491364368713993,0.7686468451393824,0.7580439983291773,0.8887770143989049,0.7686468451393824,0.6455026455026455,0.8917910447761194,0.9798657718120806,0.9014084507042254,0.9857142857142858,0.28197381671701915,0.4886581130109077,0.8184553660982948,0.7181487016626191,0.7189585989649742,0.7185517793169707,0.8635715892897324,0.7189585989649742,0.5522388059701493,0.885678391959799,0.97,0.8917835671342685,0.9706959706959707,0.27382146439317956,54.374894294275734,163.1246828828272,,5.294359105232787,21.954500436782837,447487120,426.75697326660156,1342461360,1280.2709197998047
4,"0,1,2,3,4",5,0.71,0.11486235689127608,0.3875416489646274,0.8700906344410876,0.7944122317565303,0.7659815999368238,0.7787635685356776,0.8967826212851089,0.7659815999368238,0.5978835978835979,0.9340796019900498,0.9966442953020134,0.9517102615694165,0.9973753280839895,0.38368580060422963,0.39494068141925776,0.843530591775326,0.7626043981304115,0.7142084802120053,0.7332798287854467,0.8748499962499063,0.7142084802120053,0.4975124378109453,0.9309045226130653,0.9966666666666667,0.9559118236472945,0.9870801033591732,0.3881644934804413,54.374894294275734,217.49957717710294,,2.3685535320364663,21.972418308258057,447487120,426.75697326660156,1789948480,1707.0278930664062
5,"0,1,2,3,4",5,0.59,0.09833061795332876,0.35010699899295067,0.850956696878147,0.758296869128859,0.7804726368159204,0.7683417402269861,0.8924063544710312,0.7804726368159204,0.6666666666666666,0.8942786069651741,1.0,0.9758551307847082,0.9887133182844243,0.446122860020141,0.3529210678911735,0.839518555667001,0.751014982450626,0.7395872396809919,0.7449964831510967,0.8821408035200881,0.7395872396809919,0.572139303482587,0.907035175879397,1.0,0.9719438877755511,0.9888641425389755,0.45035105315947843,54.374894294275734,271.8744714713787,,1.6500830825624742,21.84009599685669,447487120,426.75697326660156,2237435600,2133.784866333008
6,"0,1,2,3,4",5,0.6,0.09004623010597748,0.371722664117573,0.8429003021148036,0.748312710911136,0.7876391850272447,0.7644772851669404,0.8956079391402774,0.7876391850272447,0.6984126984126984,0.8768656716417911,1.0,0.9738430583501007,0.988479262672811,0.43705941591137965,0.37087654565258277,0.835506519558676,0.7453222758272587,0.7612471561789045,0.7526653355115871,0.8823126828170704,0.7612471561789045,0.6368159203980099,0.885678391959799,0.9966666666666667,0.9659318637274549,0.9780701754385965,0.4573721163490471,54.374894294275734,326.24936576565443,,1.5324653875126282,21.986254453659058,447487120,426.75697326660156,2684922720,2560.5418395996094
7,"0,1,2,3,4",5,0.4599999999999999,0.0745002727979682,0.3042252800855992,0.8499496475327291,0.7577419205962779,0.7940160309563296,0.7730599035224284,0.9008068124983547,0.7940160309563296,0.7037037037037037,0.8843283582089553,1.0,0.9899396378269618,0.9846153846153847,0.5236656596173213,0.3394284415747242,0.8375125376128385,0.7478624748260434,0.7569251731293283,0.7521970468744246,0.8768312957823946,0.7569251731293283,0.6218905472636815,0.8919597989949749,1.0,0.9739478957915831,0.9608540925266904,0.563691073219659,54.374894294275734,380.6242600599302,,1.528491075223542,21.727636098861694,447487120,426.75697326660156,3132409840,2987.298812866211
8,"0,1,2,3,4",5,0.4699999999999999,0.07650280831157372,0.31188682102844917,0.8479355488418933,0.755468643798994,0.79681947405828,0.7724222716337945,0.8994314143567875,0.79681947405828,0.7142857142857143,0.8793532338308457,1.0,0.9879275653923542,0.989648033126294,0.486404833836858,0.33564364969909727,0.8415245737211635,0.7539133611190956,0.7650160004000099,0.7591787439613527,0.8787125928148204,0.7650160004000099,0.6368159203980099,0.8932160804020101,0.9966666666666667,0.9759519038076152,0.9704724409448819,0.5095285857572718,54.374894294275734,434.9991543542059,,1.5380403982011326,21.852921724319458,447487120,426.75697326660156,3579896960,3414.0557861328125
9,"0,1,2,3,4",5,0.74,0.07162691320707641,0.3474679199710473,0.877139979859013,0.8214450167132819,0.748075100687041,0.7761364476310149,0.900428413488115,0.748075100687041,0.5396825396825397,0.9564676616915423,0.9966442953020134,0.9778672032193159,0.9830866807610994,0.47633434038267874,0.3477894621364092,0.8696088264794383,0.8277594626518343,0.7323995599889997,0.7651073608513477,0.8881503287582191,0.7323995599889997,0.5024875621890548,0.9623115577889447,0.9933333333333333,0.9799599198396793,0.9795081967213115,0.48946840521564694,54.374894294275734,489.3740486484817,,1.5390536227079668,21.954750776290894,447487120,426.75697326660156,4027384080,3840.812759399414
10,"0,1,2,3,4",5,0.73,0.07508340379607509,0.36188524751384693,0.8690835850956697,0.7995127128865731,0.7451235884071705,0.7671536796536798,0.8988753323330438,0.7451235884071705,0.544973544973545,0.945273631840796,0.9966442953020134,0.9758551307847082,0.977924944812362,0.4561933534743202,0.3496862658287362,0.8686058174523571,0.8263685564723627,0.729911997799945,0.7627281529939886,0.8868877971949299,0.729911997799945,0.4975124378109453,0.9623115577889447,0.9966666666666667,0.969939879759519,0.9703389830508474,0.47342026078234706,54.374894294275734,543.7489429427574,,1.5173178692446965,22.02313542366028,447487120,426.75697326660156,4474871200,4267.569732666016
