round,selected_clients,selected_client_count,decision_threshold,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_balanced_accuracy,val_sensitivity,val_specificity,val_confidence_accuracy_top30,val_confidence_accuracy_top50,val_confidence_accuracy_ge90,val_confidence_coverage_ge90,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_balanced_accuracy,test_sensitivity,test_specificity,test_confidence_accuracy_top30,test_confidence_accuracy_top50,test_confidence_accuracy_ge90,test_confidence_coverage_ge90,mean_epsilon,cumulative_epsilon,mean_hybrid_alpha,mean_update_norm,round_time_sec,round_communication_bytes,round_communication_mb,cumulative_communication_bytes,cumulative_communication_mb
1,0,1,0.72,0.19419340444502428,0.5325245468277946,0.8569989929506546,0.7906704961869863,0.6931414356787491,0.7242357156267601,0.8840190581484114,0.6931414356787491,0.42857142857142855,0.9577114427860697,0.9496644295302014,0.8993963782696177,1.0,0.008056394763343404,0.515572596696339,0.8545636910732196,0.8190984773797787,0.6820701767544188,0.717852033577101,0.8883222080552013,0.6820701767544188,0.39303482587064675,0.9711055276381909,0.9633333333333334,0.8897795591182365,1.0,0.017051153460381142,,,,3220.293579533126,61.89276099205017,86294064,82.29643249511719,86294064,82.29643249511719
2,0,1,0.73,0.1526692621451672,0.5062945501321753,0.8620342396777442,0.7799456592998353,0.7529120271657586,0.7650434797626964,0.8960225328384532,0.7529120271657586,0.5767195767195767,0.9291044776119403,0.9395973154362416,0.8893360160965795,0.979381443298969,0.09768378650553877,0.4892935642866098,0.8625877632898696,0.8031848107786166,0.7354402610065252,0.7610028888433953,0.8999099977499437,0.7354402610065252,0.5223880597014925,0.9484924623115578,0.9666666666666667,0.9178356713426854,1.0,0.10431293881644935,,,,1002.0574291576487,42.50579595565796,86294064,82.29643249511719,172588128,164.59286499023438
3,0,1,0.7599999999999999,0.136688321795419,0.48050267890861026,0.8680765357502518,0.8008164461564227,0.7364072494669509,0.7613825843387085,0.9022940851299059,0.7364072494669509,0.5238095238095238,0.9490049751243781,0.9697986577181208,0.9175050301810865,0.9830508474576272,0.23766364551863042,0.4598433973796389,0.8706118355065195,0.8245558536215012,0.7404653866346658,0.7707617036066625,0.9120103002575064,0.7404653866346658,0.5223880597014925,0.9585427135678392,0.9866666666666667,0.935871743486974,1.0,0.22166499498495487,,,,1074.6438766741153,42.041455030441284,86294064,82.29643249511719,258882192,246.88929748535156
4,0,1,0.7599999999999999,0.12396509607818638,0.4352496282571752,0.8751258811681772,0.825852534562212,0.7326660349048408,0.7654664309877183,0.9015767722235384,0.7326660349048408,0.5026455026455027,0.9626865671641791,0.9832214765100671,0.9456740442655935,0.9819494584837545,0.27895266868076535,0.417587234359328,0.8676028084252758,0.8283669724770643,0.7237055926398159,0.7579776669461977,0.9104227605690143,0.7237055926398159,0.48258706467661694,0.964824120603015,0.9933333333333333,0.9519038076152304,1.0,0.2657973921765296,,,,673.3603615544721,41.1971538066864,86294064,82.29643249511719,345176256,329.18572998046875
5,0,1,0.8099999999999999,0.11257607018139874,0.4467655423904834,0.8620342396777442,0.803739297048081,0.7002981126115454,0.7332262638028508,0.8951209560662298,0.7002981126115454,0.43915343915343913,0.9614427860696517,0.9798657718120806,0.9356136820925554,0.9738372093023255,0.3464249748237664,0.40577494201354064,0.8545636910732196,0.8168662244810061,0.683929598239956,0.7193702743887643,0.9134353358833971,0.683929598239956,0.39800995024875624,0.9698492462311558,0.9933333333333333,0.9418837675350702,0.9937694704049844,0.32196589769307926,,,,790.6772364019616,41.22675132751465,86294064,82.29643249511719,431470320,411.48216247558594
6,0,1,0.7899999999999999,0.10302527170036441,0.38517424707326287,0.8559919436052367,0.7863147699757869,0.6945431572297244,0.7245161052511092,0.8943904814551581,0.6945431572297244,0.43386243386243384,0.9552238805970149,1.0,0.9698189134808853,0.9862385321100917,0.4390735146022155,0.35470375971664997,0.8485456369107321,0.7954289228246387,0.6801607540188505,0.7123743582983227,0.9080102002550063,0.6801607540188505,0.39800995024875624,0.9623115577889447,0.9966666666666667,0.9799599198396793,0.9909706546275395,0.44433299899699097,,,,840.9613502658115,41.152099609375,86294064,82.29643249511719,517764384,493.7785949707031
7,0,1,0.82,0.09553652719359532,0.40316246931646527,0.8580060422960725,0.7834178017104846,0.7119758351101635,0.7380314894333586,0.8970096606912528,0.7119758351101635,0.47619047619047616,0.9477611940298507,0.9966442953020134,0.9557344064386318,0.9735099337748344,0.4561933534743202,0.36533256997555164,0.8645937813440321,0.8259264538198403,0.7143834845871146,0.7493729435621275,0.9147353683842097,0.7143834845871146,0.4626865671641791,0.9660804020100503,1.0,0.9739478957915831,0.9933628318584071,0.45336008024072216,,,,850.8665487699897,41.19581437110901,86294064,82.29643249511719,604058448,576.0750274658203
8,0,1,0.7699999999999999,0.08818926948253239,0.40675303294939574,0.8539778449144008,0.7682661618374116,0.7256771697070205,0.7433170809972458,0.8937323962199584,0.7256771697070205,0.5185185185185185,0.9328358208955224,0.9966442953020134,0.9577464788732394,0.9735099337748344,0.4561933534743202,0.36606303284854563,0.8645937813440321,0.8132515201202433,0.7292588564714118,0.7589669937268203,0.9063414085352134,0.7292588564714118,0.5024875621890548,0.9560301507537688,0.9966666666666667,0.9759519038076152,0.9889135254988913,0.45235707121364094,,,,564.8112350438572,41.966747999191284,86294064,82.29643249511719,690352512,658.3714599609375
9,0,1,0.7799999999999999,0.08028302163721245,0.3489662009063444,0.8680765357502518,0.8264767820297377,0.7020058437968886,0.7392316250538744,0.890553844533944,0.7020058437968886,0.43386243386243384,0.9701492537313433,1.0,0.9818913480885312,0.9820359281437125,0.5045317220543807,0.3199417588703611,0.8575727181544633,0.826089789535414,0.687673441836046,0.7244355341015261,0.9079914497862446,0.687673441836046,0.40298507462686567,0.9723618090452262,0.9966666666666667,0.9919839679358717,0.9922630560928434,0.518555667001003,,,,747.074216675005,41.69861102104187,86294064,82.29643249511719,776646576,740.6678924560547
10,0,1,0.7499999999999999,0.0757802459402619,0.3583423810422961,0.8569989929506546,0.7799274799274799,0.7133775566611388,0.7381445826090832,0.8898233699228724,0.7133775566611388,0.48148148148148145,0.945273631840796,1.0,0.9778672032193159,0.96415770609319,0.5619335347432024,0.32948405764167504,0.8585757271815446,0.8029427220178665,0.7161929048226205,0.7458439776320571,0.9043726093152329,0.7161929048226205,0.47761194029850745,0.9547738693467337,0.9966666666666667,0.9879759519038076,0.9722703639514731,0.5787362086258776,,,,757.9201061931587,41.43208408355713,86294064,82.29643249511719,862940640,822.9643249511719
