round,selected_clients,selected_client_count,decision_threshold,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_balanced_accuracy,val_sensitivity,val_specificity,val_confidence_accuracy_top30,val_confidence_accuracy_top50,val_confidence_accuracy_ge90,val_confidence_coverage_ge90,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_balanced_accuracy,test_sensitivity,test_specificity,test_confidence_accuracy_top30,test_confidence_accuracy_top50,test_confidence_accuracy_ge90,test_confidence_coverage_ge90,mean_epsilon,cumulative_epsilon,mean_hybrid_alpha,mean_update_norm,round_time_sec,round_communication_bytes,round_communication_mb,cumulative_communication_bytes,cumulative_communication_mb
1,0,1,0.82,0.23411262317238568,0.5990298790754028,0.8569989929506546,0.7791075448529914,0.7154011687593778,0.7394375046197058,0.8721340388007055,0.7154011687593778,0.48677248677248675,0.9440298507462687,0.9395973154362416,0.8772635814889336,0.9772727272727273,0.1772406847935549,0.5527284979939819,0.8385155466399198,0.760806242807825,0.6813170329258231,0.7069708005878219,0.8748718717967949,0.6813170329258231,0.417910447761194,0.9447236180904522,0.94,0.8557114228456913,0.9942196531791907,0.17352056168505517,,,,2.459491756690218,46.276488065719604,222573328,212.26246643066406,222573328,212.26246643066406
2,0,1,0.7999999999999999,0.17189944145835448,0.4756611711669184,0.8600201409869084,0.781205021589637,0.7314321250888416,0.751621790384605,0.8990760483297796,0.7314321250888416,0.5238095238095238,0.9390547263681592,1.0,0.937625754527163,0.9846547314578005,0.39375629405840884,0.4485343236741474,0.8595787362086259,0.8020115430317434,0.7223993099827495,0.7506288768830575,0.8906722668066702,0.7223993099827495,0.4925373134328358,0.9522613065326633,0.9966666666666667,0.9438877755511023,0.9948051948051948,0.38615847542627885,,,,2.4920862414009943,35.42635679244995,222573328,212.26246643066406,445146656,424.5249328613281
3,0,1,0.7699999999999999,0.1524442152562914,0.4228109953266616,0.8731117824773413,0.8168647384920564,0.7354694780067914,0.7653098739495798,0.9071375924609755,0.7354694780067914,0.5132275132275133,0.9577114427860697,1.0,0.9537223340040242,0.9948320413436692,0.38972809667673713,0.3985863841524574,0.8635907723169508,0.808005236296149,0.7323495587389685,0.7600073630403693,0.902028800720018,0.7323495587389685,0.5124378109452736,0.9522613065326633,1.0,0.9679358717434869,0.9950617283950617,0.4062186559679037,,,,2.408177382573633,35.73088264465332,222573328,212.26246643066406,667719984,636.7873992919922
4,0,1,0.74,0.13620506730592138,0.3601376628587613,0.8741188318227593,0.805371748920136,0.7623983258311616,0.780754047108073,0.9112374634762694,0.7623983258311616,0.582010582010582,0.9427860696517413,1.0,0.9818913480885312,0.9933628318584071,0.4551863041289023,0.3535885978247242,0.872617853560682,0.8207949626131444,0.7547376184404611,0.7804395059416362,0.9036663416585415,0.7547376184404611,0.5572139303482587,0.9522613065326633,1.0,0.9799599198396793,0.9872340425531915,0.47141424272818455,,,,2.4119722166854762,34.98239755630493,222573328,212.26246643066406,890293312,849.0498657226562
5,0,1,0.72,0.12710537152614362,0.31716153700906347,0.8882175226586103,0.8367863425555733,0.77717562978757,0.8016548110265551,0.9178051541235621,0.77717562978757,0.5978835978835979,0.9564676616915423,1.0,0.9959758551307847,0.9959919839679359,0.5025176233635448,0.3084272348294885,0.8706118355065195,0.8231455242540423,0.742324808120203,0.7718304761803386,0.9138728468211704,0.742324808120203,0.527363184079602,0.957286432160804,1.0,0.9899799599198397,0.9826923076923076,0.5215646940822467,,,,2.395034559569274,34.9036591053009,222573328,212.26246643066406,1112866640,1061.3123321533203
6,0,1,0.8099999999999999,0.11598101378415604,0.3363820178751259,0.8811681772406847,0.8378007310287138,0.7444918265813789,0.777961797923141,0.9155347600621232,0.7444918265813789,0.5238095238095238,0.9651741293532339,1.0,0.993963782696177,0.9783393501805054,0.5579053373615307,0.33024806842402205,0.8706118355065195,0.8467395839542231,0.7181523288082202,0.7568223715930684,0.9078414460361509,0.7181523288082202,0.4626865671641791,0.9736180904522613,1.0,0.9859719438877755,0.9769911504424779,0.5667001003009027,,,,2.3187101099392744,36.06617307662964,222573328,212.26246643066406,1335439968,1273.5747985839844
7,0,1,0.74,0.10701284171357704,0.31208449380035247,0.8942598187311178,0.8501520273002217,0.7849541972676302,0.8114846723378866,0.9243201979520388,0.7849541972676302,0.6084656084656085,0.9614427860696517,1.0,0.9919517102615694,0.9866156787762906,0.526686807653575,0.3064368887913741,0.8655967903711134,0.8160694337028443,0.7298869971749293,0.7601851054052502,0.9120478011950298,0.7298869971749293,0.5024875621890548,0.957286432160804,1.0,0.9979959919839679,0.9942528735632183,0.5235707121364093,,,,2.3973563871691943,34.78433895111084,222573328,212.26246643066406,1558013296,1485.8372650146484
8,0,1,0.83,0.10182407407606502,0.3456952574269889,0.8882175226586103,0.856625153123724,0.7528922846087025,0.7895097670386079,0.9184303350970018,0.7528922846087025,0.5343915343915344,0.9713930348258707,1.0,0.9859154929577465,0.972972972972973,0.5589123867069486,0.3281871983136911,0.8605817452357071,0.8408662686431636,0.6876984424610615,0.7265555785755863,0.9098789969749245,0.6876984424610615,0.39800995024875624,0.9773869346733668,1.0,0.9899799599198397,0.9764492753623188,0.5536609829488466,,,,2.3969385629874096,34.775426149368286,222573328,212.26246643066406,1780586624,1698.0997314453125
9,0,1,0.72,0.09720382053857651,0.31927348863922456,0.8851963746223565,0.8180230527418791,0.7995933033246466,0.8082647931599842,0.9166337624049068,0.7995933033246466,0.6613756613756614,0.9378109452736318,1.0,0.9919517102615694,0.9876977152899824,0.5730110775427996,0.31872962637913743,0.8515546639919759,0.777882920848977,0.7266712917822946,0.746957786283629,0.9077914447861196,0.7266712917822946,0.5174129353233831,0.9359296482412061,1.0,0.9939879759519038,0.9792746113989638,0.5807422266800402,,,,2.317767170604707,34.883835792541504,222573328,212.26246643066406,2003159952,1910.3621978759766
10,0,1,0.7699999999999999,0.0815355766933655,0.34651643536002014,0.8892245720040282,0.8242044699235627,0.8081517018084182,0.8157761586723336,0.9179433520229539,0.8081517018084182,0.6772486772486772,0.9390547263681592,1.0,0.9919517102615694,0.97,0.6042296072507553,0.32490880845661985,0.8696088264794383,0.8094111266308063,0.7602908822720569,0.7806135575777272,0.9179604490112253,0.7602908822720569,0.5771144278606966,0.9434673366834171,0.9966666666666667,0.9899799599198397,0.9689542483660131,0.6138415245737212,,,,2.3158708339776046,35.65151596069336,222573328,212.26246643066406,2225733280,2122.6246643066406
11,0,1,0.8899999999999999,0.07873664274208271,0.4264175399672709,0.8862034239677744,0.8445781860416006,0.7577193398088921,0.790053605006876,0.9118823870067652,0.7577193398088921,0.5502645502645502,0.9651741293532339,1.0,0.9617706237424547,0.9511754068716094,0.5568982880161127,0.3825998258447217,0.8665997993981945,0.8610455974842768,0.6951861296532413,0.7369074758585661,0.9153791344783619,0.6951861296532413,0.4079601990049751,0.9824120603015075,1.0,0.9799599198396793,0.9723247232472325,0.5436308926780341,,,,2.3981705740364987,35.56711387634277,222573328,212.26246643066406,2448306608,2334.8871307373047
12,0,1,0.7899999999999999,0.07783951505786534,0.3345360885574018,0.8892245720040282,0.8381190559496168,0.7798211324330727,0.8039043201011087,0.9128563531548606,0.7798211324330727,0.6031746031746031,0.9564676616915423,1.0,0.9919517102615694,0.9541864139020537,0.6374622356495468,0.3280417424147442,0.8676028084252758,0.8233653015531619,0.7292838570964274,0.7614936279413684,0.9078414460361509,0.7292838570964274,0.4975124378109453,0.9610552763819096,0.9933333333333333,0.9899799599198397,0.968,0.6268806419257773,,,,2.446925244133898,35.47200083732605,222573328,212.26246643066406,2670879936,2547.1495971679688
13,0,1,0.7599999999999999,0.07452043792447569,0.33624138500755285,0.8811681772406847,0.8234669754426593,0.7647279475637685,0.7886471861471862,0.9082431756561109,0.7647279475637685,0.5767195767195767,0.9527363184079602,1.0,0.993963782696177,0.9591194968553459,0.6404833836858006,0.33750617085631895,0.8615847542627884,0.8027628109595323,0.7310932773319333,0.7576004228329809,0.9001287532188306,0.7310932773319333,0.5124378109452736,0.949748743718593,1.0,0.9839679358717435,0.9565217391304348,0.6228686058174524,,,,2.3059500871071816,35.4962112903595,222573328,212.26246643066406,2893453264,2759.412063598633
14,0,1,0.7699999999999999,0.07017679292534557,0.3095747380098187,0.879154078549849,0.8230446508840276,0.7553897180762852,0.7819499341238472,0.9149424833504435,0.7553897180762852,0.5555555555555556,0.9552238805970149,1.0,0.9959758551307847,0.9716981132075472,0.6404833836858006,0.3355966336509529,0.872617853560682,0.8335041163075845,0.7380028250706268,0.7710793273707182,0.903028825720643,0.7380028250706268,0.5124378109452736,0.9635678391959799,1.0,0.9919839679358717,0.9522342064714946,0.6509528585757272,,,,2.380597578862729,34.87269926071167,222573328,212.26246643066406,3116026592,2971.674530029297
15,0,1,0.8899999999999999,0.06716858005226586,0.33256722841137965,0.8821752265861027,0.886273705544564,0.71071231145858,0.7575040961793345,0.9116059912079812,0.71071231145858,0.43386243386243384,0.9875621890547264,1.0,0.993963782696177,0.9585185185185185,0.6797583081570997,0.3169912569740471,0.8525576730190572,0.8456856597600872,0.658500837520938,0.6955269833157787,0.9108352708817721,0.658500837520938,0.3333333333333333,0.9836683417085427,0.9966666666666667,0.9899799599198397,0.954954954954955,0.6680040120361084,,,,2.31337252107421,35.855090379714966,222573328,212.26246643066406,3338599920,3183.936996459961
16,0,1,0.84,0.06089878188214059,0.33808682260196377,0.8902316213494461,0.8656930126002291,0.7521124536049909,0.7911260862265603,0.9090394587907026,0.7521124536049909,0.5291005291005291,0.9751243781094527,0.9966442953020134,0.9758551307847082,0.9604685212298683,0.6878147029204431,0.31953918395812436,0.8655967903711134,0.840043598644516,0.7057145178629466,0.7440847444640257,0.9065976649416236,0.7057145178629466,0.43781094527363185,0.9736180904522613,0.99,0.9879759519038076,0.948905109489051,0.6870611835506519,,,,2.409414332432832,34.9775550365448,222573328,212.26246643066406,3561173248,3396.199462890625
