round,selected_clients,selected_client_count,decision_threshold,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_balanced_accuracy,val_sensitivity,val_specificity,val_confidence_accuracy_top30,val_confidence_accuracy_top50,val_confidence_accuracy_ge90,val_confidence_coverage_ge90,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_balanced_accuracy,test_sensitivity,test_specificity,test_confidence_accuracy_top30,test_confidence_accuracy_top50,test_confidence_accuracy_ge90,test_confidence_coverage_ge90,mean_epsilon,cumulative_epsilon,mean_hybrid_alpha,mean_update_norm,round_time_sec,round_communication_bytes,round_communication_mb,cumulative_communication_bytes,cumulative_communication_mb
1,"0,1,2,3,4",5,0.5499999999999999,0.9696511184866257,0.6657476357943102,0.7180261832829808,0.643254132140629,0.7145719813630261,0.6471681065551304,0.7728125246781963,0.7145719813630261,0.708994708994709,0.7201492537313433,0.6543624161073825,0.6680080482897385,0.0,0.0,0.6691676592276831,0.7061183550651956,0.6217896765362726,0.6690604765119128,0.6266390084981129,0.7200555013875347,0.6690604765119128,0.6069651741293532,0.7311557788944724,0.6533333333333333,0.6492985971943888,0.0,0.0,54.374894294275734,54.374894294275734,0.3427660119020311,11.944764668156022,25.682162761688232,447487120,426.75697326660156,447487120,426.75697326660156
2,"0,1,2,3,4",5,0.63,0.4867190153847248,0.5443876176202165,0.798590130916415,0.6931844888366627,0.7380162678670141,0.708988816730359,0.8481106372897418,0.7380162678670141,0.6402116402116402,0.835820895522388,0.912751677852349,0.8410462776659959,1.0,0.019133937562940583,0.5429579754889668,0.7793380140421263,0.6634004765761641,0.6740074751868796,0.6682095964179826,0.8192548563714093,0.6740074751868796,0.4975124378109453,0.8505025125628141,0.92,0.8557114228456913,1.0,0.01905717151454363,54.374894294275734,108.74978858855147,0.3738572942832016,8.649755786517543,22.42730402946472,447487120,426.75697326660156,894974240,853.5139465332031
3,"0,1,2,3,4",5,0.73,0.2663431403930175,0.49597745743643,0.8459214501510574,0.7511261261261262,0.777363184079602,0.7627240143369176,0.8886157835162811,0.777363184079602,0.6666666666666666,0.8880597014925373,0.9798657718120806,0.9014084507042254,0.9855595667870036,0.27895266868076535,0.4929691418004012,0.8184553660982948,0.7186460545211297,0.7226774419360484,0.720615442732645,0.8637090927273182,0.7226774419360484,0.5621890547263682,0.8831658291457286,0.97,0.8917835671342685,0.9704797047970479,0.27181544633901705,54.374894294275734,163.1246828828272,0.42070756693377237,5.298865497767387,22.533332586288452,447487120,426.75697326660156,1342461360,1280.2709197998047
4,"0,1,2,3,4",5,0.7,0.1155584836708605,0.39485480394008055,0.8640483383685801,0.7804027045703987,0.7723683171444365,0.7762636335566997,0.896772750006581,0.7723683171444365,0.6243386243386243,0.9203980099502488,0.9966442953020134,0.9476861167002012,0.9946236559139785,0.37462235649546827,0.40241770232572716,0.839518555667001,0.7526798730812109,0.7209930248256207,0.7345227000399415,0.8734155853896347,0.7209930248256207,0.5223880597014925,0.9195979899497487,0.9966666666666667,0.9458917835671342,0.9789473684210527,0.3811434302908726,54.374894294275734,217.49957717710294,0.5072681238671658,2.3722837141591677,22.278428554534912,447487120,426.75697326660156,1789948480,1707.0278930664062
5,"0,1,2,3,4",5,0.6499999999999999,0.0992908625472347,0.3435124976397281,0.8640483383685801,0.7830844155844155,0.7582030324567638,0.7694879056595014,0.8913632893732395,0.7582030324567638,0.5873015873015873,0.9291044776119403,1.0,0.9778672032193159,0.9887640449438202,0.44813695871097686,0.34554934334252757,0.8515546639919759,0.7785444351516277,0.7248118702967574,0.7458385007578889,0.8830877021925548,0.7248118702967574,0.5124378109452736,0.9371859296482412,0.9966666666666667,0.9739478957915831,0.9869848156182213,0.46238716148445336,54.374894294275734,271.8744714713787,0.5379755048503355,1.6484511716432446,22.2085542678833,447487120,426.75697326660156,2237435600,2133.784866333008
6,"0,1,2,3,4",5,0.6499999999999999,0.09098641293707646,0.365927213148288,0.8489425981873112,0.7551167164509348,0.7731580194266762,0.763436249285306,0.8950354049856537,0.7731580194266762,0.6507936507936508,0.8955223880597015,1.0,0.9798792756539235,0.9886363636363636,0.4431017119838872,0.36834184193204617,0.8505516549648947,0.7698948290972831,0.7502156303907598,0.7592384601296893,0.8807907697692442,0.7502156303907598,0.582089552238806,0.9183417085427136,0.9933333333333333,0.9679358717434869,0.9849137931034483,0.4653961885656971,54.374894294275734,326.24936576565443,0.5429066054847197,1.53527221702023,22.23094153404236,447487120,426.75697326660156,2684922720,2560.5418395996094
7,"0,1,2,3,4",5,0.48999999999999994,0.07816892992037974,0.31089698199899296,0.8499496475327291,0.7571618822136728,0.7859215825633736,0.7697715563453372,0.8992306983600515,0.7859215825633736,0.6825396825396826,0.8893034825870647,1.0,0.9919517102615694,0.9919028340080972,0.49748237663645517,0.3407576244358074,0.8335005015045135,0.7418508737021092,0.7506937673441836,0.7460784554392252,0.8760094002350058,0.7506937673441836,0.6119402985074627,0.8894472361809045,1.0,0.9759519038076152,0.9694656488549618,0.5255767301905717,54.374894294275734,380.6242600599302,0.5436567582886869,1.5152604525572815,22.136479377746582,447487120,426.75697326660156,3132409840,2987.298812866211
8,"0,1,2,3,4",5,0.62,0.07610473698449316,0.3237639059352971,0.8680765357502518,0.7887667887667887,0.7708086551370134,0.7792018657419431,0.9039294269393772,0.7708086551370134,0.6137566137566137,0.927860696517413,1.0,0.9879275653923542,0.9956236323851203,0.4602215508559919,0.3405269519495988,0.8495486459378134,0.7709256186422336,0.734712117802945,0.7500701909193005,0.8829033225830646,0.734712117802945,0.5422885572139303,0.9271356783919598,0.9966666666666667,0.9819639278557114,0.9836734693877551,0.49147442326980945,54.374894294275734,434.9991543542059,0.5429149710221051,1.532406491225682,22.23935079574585,447487120,426.75697326660156,3579896960,3414.0557861328125
9,"0,1,2,3,4",5,0.6799999999999999,0.07076351628456394,0.3507575489363041,0.8660624370594159,0.7844799062521541,0.771588486140725,0.777726352425977,0.9060352996920161,0.771588486140725,0.6190476190476191,0.9241293532338308,0.9966442953020134,0.9758551307847082,0.9825708061002179,0.4622356495468278,0.3599416413302407,0.8615847542627884,0.7877213420316869,0.7701411285282131,0.7783330755548681,0.8864659116477912,0.7701411285282131,0.6169154228855721,0.9233668341708543,0.9966666666666667,0.9739478957915831,0.9751552795031055,0.4844533600802407,54.374894294275734,489.3740486484817,0.5415543934316037,1.554597934909026,22.176795721054077,447487120,426.75697326660156,4027384080,3840.812759399414
10,"0,1,2,3,4",5,0.6799999999999999,0.07686388131504758,0.33863312720292044,0.8670694864048338,0.7917212690092341,0.7519742557055991,0.7690046524742704,0.9034490247176814,0.7519742557055991,0.5661375661375662,0.9378109452736318,0.9966442953020134,0.9798792756539235,0.9847826086956522,0.46324269889224573,0.34178218248495484,0.8565697091273822,0.7940615102517086,0.7205148878721968,0.7470678921999103,0.8839877246931174,0.7205148878721968,0.4925373134328358,0.9484924623115578,1.0,0.9739478957915831,0.9772256728778468,0.4844533600802407,54.374894294275734,543.7489429427574,0.5423873713964797,1.5144800349028746,22.054121732711792,447487120,426.75697326660156,4474871200,4267.569732666016
