round,selected_clients,selected_client_count,decision_threshold,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_balanced_accuracy,val_sensitivity,val_specificity,val_confidence_accuracy_top30,val_confidence_accuracy_top50,val_confidence_accuracy_ge90,val_confidence_coverage_ge90,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_balanced_accuracy,test_sensitivity,test_specificity,test_confidence_accuracy_top30,test_confidence_accuracy_top50,test_confidence_accuracy_ge90,test_confidence_coverage_ge90,mean_epsilon,cumulative_epsilon,mean_hybrid_alpha,mean_update_norm,round_time_sec,round_communication_bytes,round_communication_mb,cumulative_communication_bytes,cumulative_communication_mb
1,"0,1,2,3,4",5,0.59,0.9695593949963535,0.6654958734579557,0.7552870090634441,0.6366338849051176,0.6687791202716575,0.6469909253030872,0.7727171023190924,0.6687791202716575,0.5291005291005291,0.8084577114427861,0.6543624161073825,0.682092555331992,0.0,0.0,0.6688409956431796,0.7342026078234705,0.6066449141406267,0.6197092427310683,0.6116967882552994,0.7200117502937573,0.6197092427310683,0.42786069651741293,0.8115577889447236,0.6533333333333333,0.6653306613226453,0.0,0.0,54.374894294275734,54.374894294275734,0.3427671041641292,11.94476172463731,25.83061408996582,447487120,426.75697326660156,447487120,426.75697326660156
2,"0,1,2,3,4",5,0.63,0.4878165070343895,0.5451733914746979,0.797583081570997,0.6921808572981152,0.7373943773197504,0.7080048394482327,0.8482060596488457,0.7373943773197504,0.6402116402116402,0.8345771144278606,0.912751677852349,0.8390342052313883,1.0,0.019133937562940583,0.5435733469941073,0.7803410230692076,0.6651953901953902,0.6764950373759344,0.6702927821476731,0.8192079801995049,0.6764950373759344,0.5024875621890548,0.8505025125628141,0.91,0.8557114228456913,1.0,0.01905717151454363,54.374894294275734,108.74978858855147,0.37339895151904384,8.649868910919821,23.030394554138184,447487120,426.75697326660156,894974240,853.5139465332031
3,"0,1,2,3,4",5,0.73,0.267376088320913,0.4949438550320997,0.8418932527693856,0.7446725050173326,0.7647575613993525,0.7537937471277437,0.8880728631972413,0.7647575613993525,0.6402116402116402,0.8893034825870647,0.9731543624161074,0.903420523138833,0.985663082437276,0.2809667673716012,0.49193944137098794,0.8184553660982948,0.7186460545211297,0.7226774419360484,0.720615442732645,0.863187204680117,0.7226774419360484,0.5621890547263682,0.8831658291457286,0.9666666666666667,0.8917835671342685,0.9746376811594203,0.2768304914744233,54.374894294275734,163.1246828828272,0.41944447904646964,5.292834203811443,22.56777024269104,447487120,426.75697326660156,1342461360,1280.2709197998047
4,"0,1,2,3,4",5,0.71,0.11561047060306384,0.39523515192283487,0.8680765357502518,0.7883227161455435,0.7728322672352523,0.7801407891289835,0.8967497170233488,0.7728322672352523,0.6190476190476191,0.9266169154228856,0.9966442953020134,0.9496981891348089,0.9946524064171123,0.3766364551863041,0.40274461078548146,0.8385155466399198,0.7518481555407703,0.7129271981799545,0.7288806914245853,0.8737312182804571,0.7129271981799545,0.5024875621890548,0.9233668341708543,0.9966666666666667,0.9478957915831663,0.9839142091152815,0.3741223671013039,54.374894294275734,217.49957717710294,0.507509192991372,2.365537786806743,22.413615942001343,447487120,426.75697326660156,1789948480,1707.0278930664062
5,"0,1,2,3,4",5,0.59,0.10005090420206324,0.3439688168743706,0.851963746223565,0.7596287441639233,0.7730000789702283,0.7659389556558619,0.8916956224170155,0.7730000789702283,0.6455026455026455,0.900497512437811,1.0,0.9798792756539235,0.990990990990991,0.4471299093655589,0.3470347566135908,0.8415245737211635,0.7544002112629564,0.7408435210880272,0.7472012170854143,0.8824220605515137,0.7408435210880272,0.572139303482587,0.9095477386934674,0.9966666666666667,0.9799599198396793,0.9869281045751634,0.46038114343029085,54.374894294275734,271.8744714713787,0.534710331215982,1.6490706601248153,22.55219578742981,447487120,426.75697326660156,2237435600,2133.784866333008
6,"0,1,2,3,4",5,0.6,0.09079274527271813,0.3743002777253273,0.8418932527693856,0.7478518559741778,0.793088130774698,0.7658064603353197,0.8954730316670615,0.793088130774698,0.7142857142857143,0.8718905472636815,1.0,0.9738430583501007,0.9885321100917431,0.4390735146022155,0.37432953156344034,0.8304914744232698,0.7384956569950101,0.7581064526613166,0.7473205113785475,0.8812907822695567,0.7581064526613166,0.6368159203980099,0.8793969849246231,0.9966666666666667,0.9659318637274549,0.9803921568627451,0.46038114343029085,54.374894294275734,326.24936576565443,0.5430823193843272,1.5267492092893489,22.527772665023804,447487120,426.75697326660156,2684922720,2560.5418395996094
7,"0,1,2,3,4",5,0.4699999999999999,0.07958793379245409,0.31478848029959716,0.8439073514602216,0.7496039660379509,0.7882610755745084,0.7655782373018689,0.8975394193055884,0.7882610755745084,0.6984126984126984,0.8781094527363185,1.0,0.9919517102615694,0.992,0.5035246727089627,0.3389881558738716,0.831494483450351,0.7394707187378948,0.7550157503937598,0.7466327827191868,0.8778219455486387,0.7550157503937598,0.6268656716417911,0.8831658291457286,1.0,0.9719438877755511,0.9684014869888475,0.5396188565697091,54.374894294275734,380.6242600599302,0.5414982026182,1.514588859728701,22.538331985473633,447487120,426.75697326660156,3132409840,2987.298812866211
8,"0,1,2,3,4",5,0.57,0.07582393128320206,0.32396944628021146,0.8590130916414904,0.7707254546845905,0.779376924899313,0.7749028497409327,0.9013661849482745,0.779376924899313,0.6507936507936508,0.9079601990049752,1.0,0.9879275653923542,0.9978586723768736,0.4702920443101712,0.33991378432171515,0.8455366098294884,0.760381098535712,0.7545126128153203,0.7573703240161314,0.882275181879547,0.7545126128153203,0.6019900497512438,0.907035175879397,1.0,0.9799599198396793,0.9781746031746031,0.5055165496489469,54.374894294275734,434.9991543542059,0.5386191331387911,1.5358152169770634,22.387186527252197,447487120,426.75697326660156,3579896960,3414.0557861328125
9,"0,1,2,3,4",5,0.7499999999999999,0.07067562965069048,0.3493905581256294,0.878147029204431,0.8216044213699548,0.7527442154307826,0.7795976542365171,0.904409829161073,0.7527442154307826,0.5502645502645502,0.9552238805970149,0.9966442953020134,0.9818913480885312,0.9870967741935484,0.46827794561933533,0.3533797192358325,0.8676028084252758,0.8203531838102603,0.7330027000675017,0.7637644321902464,0.8887878446961174,0.7330027000675017,0.5074626865671642,0.9585427135678392,0.9933333333333333,0.9739478957915831,0.9832985386221295,0.48044132397191575,54.374894294275734,489.3740486484817,0.5321659960868975,1.5574993681918374,22.612621545791626,447487120,426.75697326660156,4027384080,3840.812759399414
10,"0,1,2,3,4",5,0.7,0.07519871817362965,0.35635975264350456,0.8600201409869084,0.7772206622988813,0.7455974097765142,0.7594866567343632,0.900438284766643,0.7455974097765142,0.5608465608465608,0.9303482587064676,0.9966442953020134,0.9778672032193159,0.9803921568627451,0.4622356495468278,0.3431226296075727,0.8676028084252758,0.812641056422569,0.7441592289807245,0.7702476222399128,0.8909378984474613,0.7441592289807245,0.5373134328358209,0.9510050251256281,1.0,0.9719438877755511,0.973305954825462,0.4884653961885657,54.374894294275734,543.7489429427574,0.5242728556812499,1.5199095351940106,22.372892141342163,447487120,426.75697326660156,4474871200,4267.569732666016
