round,selected_clients,selected_client_count,decision_threshold,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_balanced_accuracy,val_sensitivity,val_specificity,val_confidence_accuracy_top30,val_confidence_accuracy_top50,val_confidence_accuracy_ge90,val_confidence_coverage_ge90,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_balanced_accuracy,test_sensitivity,test_specificity,test_confidence_accuracy_top30,test_confidence_accuracy_top50,test_confidence_accuracy_ge90,test_confidence_coverage_ge90,mean_epsilon,cumulative_epsilon,mean_hybrid_alpha,mean_update_norm,round_time_sec,round_communication_bytes,round_communication_mb,cumulative_communication_bytes,cumulative_communication_mb
1,"0,1,2,3,4",5,0.59,0.15318240129631527,0.659297209371853,0.7633434038267876,0.6373561330372921,0.6595889599620943,0.6458227406221305,0.7686994919581984,0.6595889599620943,0.49206349206349204,0.8271144278606966,0.7013422818791947,0.6981891348088531,0.0,0.0,0.6649440509027081,0.7432296890672017,0.610736462771889,0.617924823120578,0.6139166212863799,0.7134084602115052,0.617924823120578,0.4079601990049751,0.8278894472361809,0.6766666666666666,0.6833667334669339,0.0,0.0,46.93219062926938,46.93219062926938,0.7,12.766084165142654,25.408400774002075,447487120,426.75697326660156,447487120,426.75697326660156
2,"0,1,2,3,4",5,0.6499999999999999,0.12545720243857936,0.5294822546890735,0.8177240684793555,0.7033911968613962,0.69924188580905,0.7012660205535122,0.8415593987733292,0.69924188580905,0.5079365079365079,0.8905472636815921,0.9496644295302014,0.8812877263581489,1.0,0.022155085599194362,0.5261330867602808,0.7953861584754263,0.6738222350479763,0.6505881397034926,0.6600954596502486,0.8169954248856222,0.6505881397034926,0.4079601990049751,0.8932160804020101,0.9333333333333333,0.875751503006012,1.0,0.026078234704112337,46.93219062926938,93.86438125853876,0.7,8.907271878649158,22.348971366882324,447487120,426.75697326660156,894974240,853.5139465332031
3,"0,1,2,3,4",5,0.72,0.11271820279398004,0.5038361794278701,0.8328298086606244,0.7320389329659367,0.7571369343757404,0.743034856893434,0.8843875858801232,0.7571369343757404,0.6349206349206349,0.8793532338308457,0.9832214765100671,0.9134808853118712,0.9833887043189369,0.3031218529707956,0.4903080824504764,0.8154463390170511,0.714798668644405,0.7226524413110328,0.718544793980828,0.8658435210880272,0.7226524413110328,0.5671641791044776,0.878140703517588,0.9933333333333333,0.9038076152304609,1.0,0.28986960882647944,46.93219062926938,140.79657188780814,0.7,5.56009652416094,22.04893136024475,447487120,426.75697326660156,1342461360,1280.2709197998047
4,"0,1,2,3,4",5,0.6399999999999999,0.10291414298409149,0.4947574918963998,0.8136958710976838,0.7241807203017216,0.8019821527284214,0.7462305136723741,0.8914093553397036,0.8019821527284214,0.783068783068783,0.8208955223880597,0.9966442953020134,0.9054325955734407,0.9965034965034965,0.2880161127895267,0.47437160113151955,0.8154463390170511,0.7273659027952657,0.7821539288482212,0.7461166284695697,0.8824658116452911,0.7821539288482212,0.7263681592039801,0.8379396984924623,0.9866666666666667,0.905811623246493,0.9961389961389961,0.2597793380140421,46.93219062926938,187.7287625170775,0.7,2.412086404342517,21.91432785987854,447487120,426.75697326660156,1789948480,1707.0278930664062
5,"0,1,2,3,4",5,0.6499999999999999,0.0933136332911603,0.4535668133969033,0.8288016112789527,0.728938897673368,0.7667910447761194,0.7442303729651761,0.8850193477059148,0.7667910447761194,0.6666666666666666,0.8669154228855721,0.9966442953020134,0.9416498993963782,0.9968253968253968,0.31722054380664655,0.4371948854375627,0.8345035105315948,0.7436513017498934,0.7569001725043126,0.7498437521384288,0.877868821720543,0.7569001725043126,0.6268656716417911,0.8869346733668342,0.9966666666666667,0.935871743486974,0.9967637540453075,0.30992978936810434,46.93219062926938,234.66095314634688,0.7,1.4818140146240366,21.640512704849243,447487120,426.75697326660156,2237435600,2133.784866333008
6,"0,1,2,3,4",5,0.7899999999999999,0.08842153760218438,0.5196991735114552,0.8590130916414904,0.7716617607706717,0.7672352523098792,0.7694099069810645,0.9025540287978099,0.7672352523098792,0.6190476190476191,0.9154228855721394,0.9798657718120806,0.8812877263581489,0.9690402476780186,0.3252769385699899,0.49242919187249246,0.8575727181544633,0.7818593597660058,0.7601908797719943,0.7700914606420433,0.8936723418085453,0.7601908797719943,0.5970149253731343,0.9233668341708543,0.97,0.8997995991983968,0.9678456591639871,0.3119358074222668,46.93219062926938,281.5931437756163,0.7,1.4921305120982837,21.70645761489868,447487120,426.75697326660156,2684922720,2560.5418395996094
7,"0,1,2,3,4",5,0.6599999999999999,0.08103044917494732,0.3994843789337865,0.851963746223565,0.7599126606120955,0.7851417515596619,0.7711870384623223,0.9001059517228671,0.7851417515596619,0.6772486772486772,0.8930348258706468,1.0,0.9617706237424547,0.9921052631578947,0.3826787512588117,0.3903666566104564,0.8505516549648947,0.767948557089084,0.766950423760594,0.767447357751259,0.8878409460236506,0.766950423760594,0.6268656716417911,0.907035175879397,0.9966666666666667,0.9679358717434869,0.9947229551451188,0.3801404212637914,46.93219062926938,328.52533440488565,0.7,1.4676682720046812,21.726192951202393,447487120,426.75697326660156,3132409840,2987.298812866211
8,"0,1,2,3,4",5,0.62,0.07284836614499761,0.3773723191244965,0.8499496475327291,0.758479443262052,0.8021104793492853,0.7762123212770495,0.9064531838163679,0.8021104793492853,0.7248677248677249,0.8793532338308457,1.0,0.971830985915493,0.9976019184652278,0.4199395770392749,0.3751635766675025,0.8415245737211635,0.7547613396177365,0.7817507937698442,0.7665534452506284,0.8926691917297933,0.7817507937698442,0.681592039800995,0.8819095477386935,1.0,0.9719438877755511,0.983451536643026,0.4242728184553661,46.93219062926938,375.457525034155,0.7,1.445972424680581,21.837560892105103,447487120,426.75697326660156,3579896960,3414.0557861328125
9,"0,1,2,3,4",5,0.6399999999999999,0.07407128309143436,0.43594861294687814,0.8388721047331319,0.7497444572783678,0.8215766406064913,0.7736623169411363,0.9006390007633789,0.8215766406064913,0.7936507936507936,0.849502487562189,0.9966442953020134,0.9356136820925554,0.9825436408977556,0.4038267875125881,0.41891249921639917,0.8234704112337011,0.7345441862402132,0.7816007900197505,0.7520825562601019,0.8936629665741643,0.7816007900197505,0.7114427860696517,0.8517587939698492,1.0,0.9519038076152304,0.9745547073791349,0.39418254764292876,46.93219062926938,422.3897156634244,0.7,1.4523016080835485,21.941593408584595,447487120,426.75697326660156,4027384080,3840.812759399414
10,"0,1,2,3,4",5,0.6499999999999999,0.06756921990786706,0.3839292036442598,0.851963746223565,0.7601006214856466,0.7891889757561399,0.7728618710252655,0.9017511648108663,0.7891889757561399,0.6878306878306878,0.8905472636815921,1.0,0.9738430583501007,0.9882629107981221,0.42900302114803623,0.3707394155121615,0.8425275827482447,0.7554713804713804,0.7693629840746019,0.7619725399135353,0.8929035725893147,0.7693629840746019,0.6467661691542289,0.8919597989949749,1.0,0.9759519038076152,0.9861431870669746,0.43430290872617855,46.93219062926938,469.32190629269377,0.7,1.4407137178685898,21.777552604675293,447487120,426.75697326660156,4474871200,4267.569732666016
