round,selected_clients,selected_client_count,decision_threshold,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_balanced_accuracy,val_sensitivity,val_specificity,val_confidence_accuracy_top30,val_confidence_accuracy_top50,val_confidence_accuracy_ge90,val_confidence_coverage_ge90,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_balanced_accuracy,test_sensitivity,test_specificity,test_confidence_accuracy_top30,test_confidence_accuracy_top50,test_confidence_accuracy_ge90,test_confidence_coverage_ge90,mean_epsilon,cumulative_epsilon,mean_hybrid_alpha,mean_update_norm,round_time_sec,round_communication_bytes,round_communication_mb,cumulative_communication_bytes,cumulative_communication_mb
1,"0,1,2,3,4",5,0.59,0.9695645061640962,0.6644278504217019,0.75730110775428,0.6383587173060857,0.6700229013661849,0.6487638421064219,0.7726809076311563,0.6700229013661849,0.5291005291005291,0.8109452736318408,0.6610738255033557,0.6861167002012073,0.0,0.0,0.667861004889669,0.7352056168505516,0.6064872031099027,0.6184779619490487,0.6112371499468274,0.7200211255281382,0.6184779619490487,0.4228855721393035,0.8140703517587939,0.66,0.6653306613226453,0.0,0.0,27.187447147137867,27.187447147137867,0.7,11.944020560113131,25.622332334518433,447487120,426.75697326660156,447487120,426.75697326660156
2,"0,1,2,3,4",5,0.63,0.4889498326324828,0.5439851420883686,0.797583081570997,0.6928267045454546,0.7394179894179894,0.7089399120664387,0.8484298086288136,0.7394179894179894,0.6455026455026455,0.8333333333333334,0.912751677852349,0.8390342052313883,1.0,0.019133937562940583,0.542380559647693,0.7803410230692076,0.6645310972665497,0.6746356158903972,0.6691396749630639,0.8191798544963623,0.6746356158903972,0.4975124378109453,0.8517587939698492,0.9233333333333333,0.8557114228456913,1.0,0.020060180541624874,27.187447147137867,54.374894294275734,0.7,8.648148965197446,22.644505500793457,447487120,426.75697326660156,894974240,853.5139465332031
3,"0,1,2,3,4",5,0.73,0.2681979126261345,0.49158710583459214,0.8429003021148036,0.7461063372717508,0.7653794519466162,0.7549017125931927,0.8881518334254653,0.7653794519466162,0.6402116402116402,0.8905472636815921,0.9832214765100671,0.9054325955734407,0.9857142857142858,0.28197381671701915,0.48823741733011533,0.8184553660982948,0.71839378878916,0.7208180204505112,0.7195891507198409,0.8635965899147479,0.7208180204505112,0.5572139303482587,0.8844221105527639,0.97,0.8977955911823647,0.9715302491103203,0.2818455366098295,27.187447147137867,81.5623414414136,0.7,5.29293758281743,22.37830138206482,447487120,426.75697326660156,1342461360,1280.2709197998047
4,"0,1,2,3,4",5,0.69,0.11539597915893932,0.3951682775522407,0.8630412890231621,0.7778172628918898,0.7778172628918898,0.7778172628918898,0.8971281160335888,0.7778172628918898,0.6402116402116402,0.9154228855721394,0.9966442953020134,0.9476861167002012,0.9973544973544973,0.3806646525679758,0.4040691410168004,0.839518555667001,0.7518120435441642,0.7284307107677692,0.7388548378647388,0.8731499537488439,0.7284307107677692,0.5422885572139303,0.914572864321608,0.9966666666666667,0.9478957915831663,0.9761904761904762,0.3791374122367101,27.187447147137867,108.74978858855147,0.7,2.3664042168633754,22.407618522644043,447487120,426.75697326660156,1789948480,1707.0278930664062
5,"0,1,2,3,4",5,0.6499999999999999,0.098994522360398,0.34086309242824775,0.8670694864048338,0.7892621870882741,0.7600687040985549,0.77311814556331,0.8922648661454632,0.7600687040985549,0.5873015873015873,0.9328358208955224,1.0,0.9778672032193159,0.9887892376681614,0.44914400805639476,0.3465587191261284,0.8515546639919759,0.777882920848977,0.7266712917822946,0.746957786283629,0.8817314182854571,0.7266712917822946,0.5174129353233831,0.9359296482412061,0.9966666666666667,0.9779559118236473,0.9869565217391304,0.46138415245737213,27.187447147137867,135.93723573568934,0.7,1.639848708146154,22.06790328025818,447487120,426.75697326660156,2237435600,2133.784866333008
6,"0,1,2,3,4",5,0.7,0.09111993638580303,0.36946663755664655,0.8590130916414904,0.7729339853300734,0.7571171918186843,0.7645357108982263,0.8952821869488536,0.7571171918186843,0.5925925925925926,0.9216417910447762,1.0,0.9778672032193159,0.9908466819221968,0.44008056394763345,0.37463929875564195,0.8525576730190572,0.7770949843351975,0.7365965399134978,0.7535104316456016,0.8799688742218557,0.7365965399134978,0.5422885572139303,0.9309045226130653,0.9966666666666667,0.9619238476953907,0.9761388286334056,0.46238716148445336,27.187447147137867,163.12468288282722,0.7,1.5309097730444343,22.196674585342407,447487120,426.75697326660156,2684922720,2560.5418395996094
7,"0,1,2,3,4",5,0.4499999999999999,0.0774291829721673,0.3083872262084592,0.8449144008056395,0.7518669211707186,0.7969774145147279,0.7698898519321055,0.8976183895338123,0.7969774145147279,0.7195767195767195,0.8743781094527363,1.0,0.9899396378269618,0.9902534113060428,0.5166163141993958,0.3368410896752758,0.8365095285857572,0.7466063214302651,0.7600158753968849,0.7528759490822055,0.8776438160954023,0.7600158753968849,0.6318407960199005,0.8881909547738693,1.0,0.969939879759519,0.96875,0.5456369107321966,27.187447147137867,190.3121300299651,0.7,1.51814126715603,22.240055561065674,447487120,426.75697326660156,3132409840,2987.298812866211
8,"0,1,2,3,4",5,0.61,0.07646644748903127,0.313256762179003,0.8710976837865055,0.798549839373784,0.7605326541893707,0.7770199149509494,0.9025277053884019,0.7605326541893707,0.582010582010582,0.9390547263681592,1.0,0.9919517102615694,0.9937369519832986,0.4823766364551863,0.33575972056795383,0.8605817452357071,0.7938700381708181,0.7434810870271756,0.76389903997683,0.8810095252381309,0.7434810870271756,0.5472636815920398,0.9396984924623115,0.9966666666666667,0.9799599198396793,0.9782608695652174,0.5075225677031093,27.187447147137867,217.49957717710296,0.7,1.524400163933363,22.2846200466156,447487120,426.75697326660156,3579896960,3414.0557861328125
9,"0,1,2,3,4",5,0.69,0.06941749672266596,0.34196061886329304,0.8710976837865055,0.798549839373784,0.7605326541893707,0.7770199149509494,0.9025474479454578,0.7605326541893707,0.582010582010582,0.9390547263681592,0.9966442953020134,0.9859154929577465,0.9891774891774892,0.4652567975830816,0.347279631864343,0.8686058174523571,0.8089120562453795,0.7559438985974649,0.7774875844385951,0.887209680242006,0.7559438985974649,0.5671641791044776,0.9447236180904522,0.99,0.969939879759519,0.9734693877551021,0.49147442326980945,27.187447147137867,244.68702432424084,0.7,1.5601843480586495,22.121628046035767,447487120,426.75697326660156,4027384080,3840.812759399414
10,"0,1,2,3,4",5,0.72,0.07986650667039248,0.34310436728977844,0.8751258811681772,0.8125406636304489,0.7529021558872305,0.7768409911412042,0.9006225486324989,0.7529021558872305,0.5555555555555556,0.9502487562189055,0.9966442953020134,0.9798792756539235,0.9827213822894169,0.4662638469284995,0.33757228717402205,0.8665997993981945,0.8269593171488748,0.7212180304507613,0.7555403972899479,0.8875346883672092,0.7212180304507613,0.47761194029850745,0.964824120603015,1.0,0.9719438877755511,0.973630831643002,0.4944834503510532,27.187447147137867,271.8744714713787,0.7,1.5163096533840206,22.53583598136902,447487120,426.75697326660156,4474871200,4267.569732666016
