round,selected_clients,selected_client_count,decision_threshold,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_balanced_accuracy,val_sensitivity,val_specificity,val_confidence_accuracy_top30,val_confidence_accuracy_top50,val_confidence_accuracy_ge90,val_confidence_coverage_ge90,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_balanced_accuracy,test_sensitivity,test_specificity,test_confidence_accuracy_top30,test_confidence_accuracy_top50,test_confidence_accuracy_ge90,test_confidence_coverage_ge90,mean_epsilon,cumulative_epsilon,mean_hybrid_alpha,mean_update_norm,round_time_sec,round_communication_bytes,round_communication_mb,cumulative_communication_bytes,cumulative_communication_mb
1,"0,1,2,3,4",5,0.5499999999999999,0.9695670432458231,0.6660146415533736,0.7170191339375629,0.6426671932596103,0.7139500908157624,0.6463070072365393,0.7725229671747085,0.7139500908157624,0.708994708994709,0.7189054726368159,0.6543624161073825,0.6659959758551308,0.0,0.0,0.6692930353560682,0.7071213640922769,0.6234016725114648,0.6715480387009676,0.6283498100412599,0.7202211305282632,0.6715480387009676,0.6119402985074627,0.7311557788944724,0.65,0.6513026052104208,0.0,0.0,108.74978858855147,108.74978858855147,0.7,11.942585205336709,25.269208431243896,447487120,426.75697326660156,447487120,426.75697326660156
2,"0,1,2,3,4",5,0.63,0.487448236497584,0.5443236935895015,0.8016112789526687,0.6968543152753679,0.7419055516070441,0.7128899456222618,0.8484495511858695,0.7419055516070441,0.6455026455026455,0.8383084577114428,0.9093959731543624,0.8390342052313883,1.0,0.019133937562940583,0.5430701283538114,0.7803410230692076,0.6651953901953902,0.6764950373759344,0.6702927821476731,0.8191142278556964,0.6764950373759344,0.5024875621890548,0.8505025125628141,0.92,0.8557114228456913,1.0,0.02106318956870612,108.74978858855147,217.49957717710294,0.7,8.647626718652342,22.711792707443237,447487120,426.75697326660156,894974240,853.5139465332031
3,"0,1,2,3,4",5,0.72,0.26718083193281233,0.49689771761706947,0.837865055387714,0.740287711313394,0.7723880597014925,0.7539086491320698,0.8883130643080892,0.7723880597014925,0.6666666666666666,0.8781094527363185,0.9731543624161074,0.8993963782696177,0.9858657243816255,0.2849949647532729,0.4938764046044383,0.8214643931795386,0.7243145185273301,0.735718392959824,0.7296571853368431,0.8636028400710019,0.735718392959824,0.5920398009950248,0.8793969849246231,0.9666666666666667,0.8897795591182365,0.9709090909090909,0.275827482447342,108.74978858855147,326.2493657656544,0.7,5.2913590605551,22.26894521713257,447487120,426.75697326660156,1342461360,1280.2709197998047
4,"0,1,2,3,4",5,0.6699999999999999,0.1152526449070167,0.3912426044813696,0.8580060422960725,0.7690966266437964,0.7787550343520493,0.7737394010791628,0.8969899181341967,0.7787550343520493,0.6507936507936508,0.9067164179104478,0.9966442953020134,0.9517102615694165,0.9973890339425587,0.3856998992950655,0.40119969282848544,0.8405215646940822,0.7526990242747811,0.7402153803845095,0.74609710977104,0.8720061751543788,0.7402153803845095,0.572139303482587,0.9082914572864321,0.9966666666666667,0.9539078156312625,0.9790575916230366,0.3831494483450351,108.74978858855147,434.99915435420587,0.7,2.369443054377107,22.10178804397583,447487120,426.75697326660156,1789948480,1707.0278930664062
5,"0,1,2,3,4",5,0.63,0.09831790845958902,0.345613631356999,0.8620342396777442,0.7767708389315848,0.7711245360499092,0.773886435446581,0.8914718734370475,0.7711245360499092,0.6243386243386243,0.917910447761194,1.0,0.9758551307847082,0.9888392857142857,0.4511581067472306,0.34888895201228687,0.8485456369107321,0.7689162214946292,0.7340839770994274,0.7489314154680009,0.8819720493012326,0.7340839770994274,0.5422885572139303,0.9258793969849246,0.9966666666666667,0.9759519038076152,0.9869848156182213,0.46238716148445336,108.74978858855147,543.7489429427574,0.7,1.6460537063954672,22.22902250289917,447487120,426.75697326660156,2237435600,2133.784866333008
6,"0,1,2,3,4",5,0.6,0.0890567729364386,0.3820198420191339,0.8388721047331319,0.7438625794923588,0.7891988470346679,0.7617362302496611,0.894416804864566,0.7891988470346679,0.708994708994709,0.8694029850746269,1.0,0.9738430583501007,0.985981308411215,0.4310171198388721,0.3824743272787111,0.8294884653961886,0.7378578775445617,0.7630565764144104,0.7488233271683976,0.8794219855496388,0.7630565764144104,0.6517412935323383,0.8743718592964824,0.9966666666666667,0.9659318637274549,0.9774774774774775,0.4453360080240722,108.74978858855147,652.4987315313089,0.7,1.534227296880142,22.222312688827515,447487120,426.75697326660156,2684922720,2560.5418395996094
7,"0,1,2,3,4",5,0.43999999999999995,0.07689478103019663,0.30889763500755285,0.8459214501510574,0.7533780399577049,0.7996229171602306,0.771773174721681,0.8992109558029955,0.7996229171602306,0.7248677248677249,0.8743781094527363,1.0,0.9899396378269618,0.9901380670611439,0.5105740181268882,0.3374860910857573,0.8324974924774323,0.7415665208957452,0.763081577039426,0.7511631139321098,0.8773719342983575,0.763081577039426,0.6467661691542289,0.8793969849246231,1.0,0.9759519038076152,0.9685185185185186,0.5416248746238717,108.74978858855147,761.2485201198604,0.7,1.5196499924487725,22.053830862045288,447487120,426.75697326660156,3132409840,2987.298812866211
8,"0,1,2,3,4",5,0.4699999999999999,0.0753961922886176,0.32309122844284993,0.8358509566968781,0.7413103485602944,0.7934040116875938,0.7608865541066577,0.8954532891100055,0.7934040116875938,0.7248677248677249,0.8619402985074627,1.0,0.9879275653923542,0.9894291754756871,0.47633434038267874,0.336912103497994,0.8345035105315948,0.744610225172815,0.7680567014175355,0.7549766527402311,0.8804032600815019,0.7680567014175355,0.6567164179104478,0.8793969849246231,0.9966666666666667,0.9799599198396793,0.9800796812749004,0.5035105315947843,108.74978858855147,869.9983087084119,0.7,1.530489490378611,22.386961460113525,447487120,426.75697326660156,3579896960,3414.0557861328125
9,"0,1,2,3,4",5,0.73,0.07099620077786986,0.3701629177681269,0.8680765357502518,0.7932691578867581,0.7546197583511016,0.771275800771188,0.9001882123772672,0.7546197583511016,0.5714285714285714,0.9378109452736318,0.9966442953020134,0.9678068410462777,0.9738562091503268,0.4622356495468278,0.3636823556607322,0.8605817452357071,0.7931115591397849,0.7453405085127128,0.7649195183142696,0.8905191379784496,0.7453405085127128,0.5522388059701493,0.9384422110552764,0.9966666666666667,0.9719438877755511,0.98068669527897,0.4674022066198596,108.74978858855147,978.7480972969634,0.7,1.5473504653253516,22.63651752471924,447487120,426.75697326660156,4027384080,3840.812759399414
10,"0,1,2,3,4",5,0.73,0.08596612869009682,0.35610749858383683,0.8700906344410876,0.8019723116236193,0.7457454789544342,0.7683954545865463,0.8990398536418437,0.7457454789544342,0.544973544973545,0.9465174129353234,0.9966442953020134,0.9738430583501007,0.9808102345415778,0.47230614300100704,0.34439891941449347,0.8686058174523571,0.8280306027042578,0.7280525763144079,0.7615725147640041,0.8873721843046076,0.7280525763144079,0.4925373134328358,0.9635678391959799,1.0,0.9719438877755511,0.9718875502008032,0.49949849548645936,108.74978858855147,1087.4978858855147,0.7,1.5030318347660114,22.22795295715332,447487120,426.75697326660156,4474871200,4267.569732666016
