round,selected_clients,selected_client_count,decision_threshold,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_balanced_accuracy,val_sensitivity,val_specificity,val_confidence_accuracy_top30,val_confidence_accuracy_top50,val_confidence_accuracy_ge90,val_confidence_coverage_ge90,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_balanced_accuracy,test_sensitivity,test_specificity,test_confidence_accuracy_top30,test_confidence_accuracy_top50,test_confidence_accuracy_ge90,test_confidence_coverage_ge90,mean_epsilon,cumulative_epsilon,mean_hybrid_alpha,mean_update_norm,round_time_sec,round_communication_bytes,round_communication_mb,cumulative_communication_bytes,cumulative_communication_mb
1,0,1,0.8549999999999999,0.265717417411158,0.5922372132269638,0.8469284994964753,0.7704215100947237,0.6687100213219617,0.6982728290420599,0.8792347784885097,0.6687100213219617,0.38095238095238093,0.9564676616915423,0.9697986577181208,0.8933601609657947,0.9528301886792453,0.3202416918429003,0.5566205452294383,0.8345035105315948,0.7721354792217151,0.6416160404010101,0.6699291522954777,0.8727780694517363,0.6416160404010101,0.31840796019900497,0.964824120603015,0.9666666666666667,0.8917835671342685,0.9629629629629629,0.324974924774323,,,,1.7477364261065524,225.33723163604736,395649808,377.32106018066406,395649808,377.32106018066406
2,0,1,0.84,0.23206297321297298,0.5289409902520771,0.8590130916414904,0.7881426051535706,0.7085505014609492,0.7365648449935571,0.9021098212640501,0.7085505014609492,0.4656084656084656,0.9514925373134329,0.9899328859060402,0.9215291750503019,0.9649122807017544,0.40181268882175225,0.5008071088264794,0.8465396188565697,0.7820749414519906,0.688201580039501,0.7173769252574884,0.8883284582114552,0.688201580039501,0.4228855721393035,0.9535175879396985,0.9966666666666667,0.9238476953907816,0.966321243523316,0.38716148445336007,,,,1.4877441790074084,199.7155945301056,395649808,377.32106018066406,791299616,754.6421203613281
3,0,1,0.7699999999999999,0.21321611622783626,0.49339382021808914,0.865055387713998,0.779897859188904,0.7932263286740899,0.7862251783304415,0.9125667956513728,0.7932263286740899,0.6772486772486772,0.9092039800995025,0.9932885906040269,0.93158953722334,0.9751243781094527,0.40483383685800606,0.4657304432829739,0.8525576730190572,0.7732555787770512,0.753331333283332,0.7624701586514384,0.8966411660291508,0.753331333283332,0.5870646766169154,0.9195979899497487,0.9933333333333333,0.9438877755511023,0.9796437659033079,0.39418254764292876,,,,1.4758125201250243,199.69770073890686,395649808,377.32106018066406,1186949424,1131.9631805419922
4,0,1,0.825,0.20595055839725743,0.4724696410026435,0.879154078549849,0.8135265372607574,0.7736022269604359,0.7909561702665151,0.9216417910447761,0.7736022269604359,0.6031746031746031,0.9440298507462687,0.9966442953020134,0.9416498993963782,0.975,0.4431017119838872,0.44972833539681545,0.8625877632898696,0.8031848107786166,0.7354402610065252,0.7610028888433953,0.9020038000950024,0.7354402610065252,0.5223880597014925,0.9484924623115578,1.0,0.9579158316633266,0.9819819819819819,0.4453360080240722,,,,1.4730354188358445,199.57304191589355,395649808,377.32106018066406,1582599232,1509.2842407226562
5,0,1,0.8599999999999999,0.18100893364888485,0.44147927091200906,0.8831822759315207,0.8299753187988481,0.7639481165600568,0.7902346993779228,0.9215430782594961,0.7639481165600568,0.5714285714285714,0.9564676616915423,0.9966442953020134,0.9617706237424547,0.9666666666666667,0.48338368580060426,0.42094741255015045,0.8655967903711134,0.8189711404544894,0.7261681542038552,0.7578798950313891,0.910697767444186,0.7261681542038552,0.4925373134328358,0.9597989949748744,1.0,0.9559118236472945,0.9636363636363636,0.49648946840521563,,,,1.4671170472820796,199.40049862861633,395649808,377.32106018066406,1978249040,1886.6053009033203
6,0,1,0.8699999999999999,0.16817879157088628,0.4333757936414275,0.8851963746223565,0.8327301561483409,0.7692391218510621,0.7948376854040103,0.9263536813288057,0.7692391218510621,0.582010582010582,0.9564676616915423,0.9966442953020134,0.971830985915493,0.9595375722543352,0.5226586102719033,0.41474913020310933,0.872617853560682,0.8287611142042483,0.7435810895272382,0.7743157857212879,0.9152103802595065,0.7435810895272382,0.527363184079602,0.9597989949748744,1.0,0.9679358717434869,0.9593810444874274,0.518555667001003,,,,1.417647243148377,198.72078728675842,395649808,377.32106018066406,2373898848,2263.9263610839844
7,0,1,0.8099999999999999,0.1646908355622648,0.39490594316465255,0.8841893252769386,0.8129072230883,0.8090894732685777,0.8109745499689633,0.9273342283292532,0.8090894732685777,0.6878306878306878,0.9303482587064676,1.0,0.9798792756539235,0.967984934086629,0.5347432024169184,0.3836563401140923,0.8686058174523571,0.8047094893445919,0.7652410060251507,0.782185532624557,0.9155291382284558,0.7652410060251507,0.5920398009950248,0.9384422110552764,1.0,0.9819639278557114,0.9695817490494296,0.5275827482447342,,,,1.4258095326838638,198.71801137924194,395649808,377.32106018066406,2769548656,2641.2474212646484
8,0,1,0.8649999999999999,0.15724156837179282,0.375237133567787,0.8882175226586103,0.8394802709069493,0.7731284055910922,0.7997580157289776,0.9291110584642923,0.7731284055910922,0.5873015873015873,0.9589552238805971,1.0,0.9879275653923542,0.9690721649484536,0.5861027190332326,0.3606099058895436,0.872617853560682,0.8318603967416682,0.739862246556164,0.7721716912723903,0.9217605440136004,0.739862246556164,0.5174129353233831,0.9623115577889447,1.0,0.9939879759519038,0.9721254355400697,0.5757271815446339,,,,1.4372549263820715,198.84422755241394,395649808,377.32106018066406,3165198464,3018.5684814453125
9,0,1,0.84,0.14771377437025587,0.35989868532854985,0.8882175226586103,0.8309027514591071,0.7872936902787648,0.806195525844289,0.9261957408723578,0.7872936902787648,0.6243386243386243,0.9502487562189055,1.0,0.9879275653923542,0.9661016949152542,0.594159113796576,0.34255256002382145,0.872617853560682,0.8196395203986298,0.7565970399259981,0.7814173973238869,0.9255481387034675,0.7565970399259981,0.5621890547263682,0.9510050251256281,1.0,0.9899799599198397,0.9593908629441624,0.5927783350050151,,,,1.4565248958636132,199.87263131141663,395649808,377.32106018066406,3560848272,3395.8895416259766
10,0,1,0.8799999999999999,0.1392190441461367,0.36968348753776437,0.8952668680765358,0.8632628081832487,0.77343441522546,0.8072593167701863,0.9268735686646135,0.77343441522546,0.5767195767195767,0.9701492537313433,1.0,0.9899396378269618,0.9666666666666667,0.6042296072507553,0.35349946323345033,0.8665997993981945,0.821945701357466,0.7267962949073727,0.7591056820473319,0.9242856071401785,0.7267962949073727,0.4925373134328358,0.9610552763819096,1.0,0.9859719438877755,0.9581239530988275,0.5987963891675026,,,,1.3752403260136266,199.21124267578125,395649808,377.32106018066406,3956498080,3773.2106018066406
