round,selected_clients,selected_client_count,decision_threshold,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_balanced_accuracy,val_sensitivity,val_specificity,val_confidence_accuracy_top30,val_confidence_accuracy_top50,val_confidence_accuracy_ge90,val_confidence_coverage_ge90,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_balanced_accuracy,test_sensitivity,test_specificity,test_confidence_accuracy_top30,test_confidence_accuracy_top50,test_confidence_accuracy_ge90,test_confidence_coverage_ge90,mean_epsilon,cumulative_epsilon,mean_hybrid_alpha,mean_update_norm,round_time_sec,round_communication_bytes,round_communication_mb,cumulative_communication_bytes,cumulative_communication_mb
1,"0,1,2,3,4",5,0.74,0.9695588952010172,0.5757848887525177,0.8338368580060423,0.7364541119047086,0.7779949459053936,0.7530316162339376,0.8734732422543368,0.7779949459053936,0.6878306878306878,0.8681592039800995,0.9362416107382551,0.8410462776659959,0.9502487562189055,0.20241691842900303,0.5548736051905717,0.8084252758274825,0.7048495482269249,0.7145366134153354,0.7093982007828654,0.8582558313957849,0.7145366134153354,0.5572139303482587,0.871859296482412,0.9233333333333333,0.8376753507014028,0.9671361502347418,0.2136409227683049,,,,11.942794674514275,24.547239065170288,447487120,426.75697326660156,447487120,426.75697326660156
2,"0,1,2,3,4",5,0.7699999999999999,0.2230068475885449,0.5195096141742196,0.837865055387714,0.7372714604595951,0.7420338782279081,0.7395988917646255,0.8812024533417568,0.7420338782279081,0.5873015873015873,0.8967661691542289,0.9932885906040269,0.8993963782696177,0.9764705882352941,0.3423967774420947,0.4970886781438064,0.8375125376128385,0.7479961332420348,0.7308932723318083,0.7387519409937888,0.87139990999775,0.7308932723318083,0.5522388059701493,0.9095477386934674,0.9833333333333333,0.9078156312625251,0.9764705882352941,0.3410230692076229,,,,2.9519592917737585,21.992769956588745,447487120,426.75697326660156,894974240,853.5139465332031
3,"0,1,2,3,4",5,0.73,0.1906858022149188,0.4480162406375881,0.851963746223565,0.7597436797752809,0.7628820184790335,0.7612922216498639,0.8917252362525994,0.7628820184790335,0.6190476190476191,0.9067164179104478,0.9966442953020134,0.9255533199195171,0.9883720930232558,0.3464249748237664,0.43835853262913743,0.843530591775326,0.7576912920050175,0.7439592239805995,0.7504012016792697,0.8745687392184804,0.7439592239805995,0.5771144278606966,0.9108040201005025,0.9866666666666667,0.9318637274549099,0.9774647887323944,0.35606820461384153,,,,1.557781686665266,21.62640142440796,447487120,426.75697326660156,1342461360,1280.2709197998047
4,"0,1,2,3,4",5,0.6399999999999999,0.10179765155109093,0.3708115008182276,0.8559919436052367,0.766013494481858,0.773464029061044,0.7696261265280628,0.8964996446339729,0.773464029061044,0.6402116402116402,0.9067164179104478,0.9966442953020134,0.9778672032193159,0.9974489795918368,0.3947633434038268,0.37526593452231694,0.839518555667001,0.751342624293444,0.7340089752243806,0.7419772256728778,0.8788000950023751,0.7340089752243806,0.5572139303482587,0.9108040201005025,1.0,0.9659318637274549,0.989821882951654,0.39418254764292876,,,,1.5602197504908364,21.33863615989685,447487120,426.75697326660156,1789948480,1707.0278930664062
5,"0,1,2,3,4",5,0.6599999999999999,0.08829150200869354,0.38151213769826287,0.8580060422960725,0.7688316865170439,0.792920319039722,0.7797100309163998,0.8961903445734292,0.792920319039722,0.6878306878306878,0.8980099502487562,1.0,0.9617706237424547,0.9821826280623608,0.4521651560926485,0.37851004184428283,0.843530591775326,0.7571935545751007,0.751396909922748,0.754219289263094,0.8825220630515763,0.751396909922748,0.5970149253731343,0.9057788944723618,0.9966666666666667,0.9619238476953907,0.9680170575692963,0.4704112337011033,,,,1.5357181419697539,21.681777477264404,447487120,426.75697326660156,2237435600,2133.784866333008
6,"0,1,2,3,4",5,0.62,0.09732350229481687,0.36169642576158106,0.8459214501510574,0.750594071533562,0.7692687356866461,0.759161299424729,0.8940384058543261,0.7692687356866461,0.6455026455026455,0.8930348258706468,1.0,0.9798792756539235,0.9929742388758782,0.4300100704934542,0.35610542565195585,0.843530591775326,0.7569751743793595,0.7569751743793595,0.7569751743793595,0.8867971699292482,0.7569751743793595,0.6119402985074627,0.9020100502512562,0.9966666666666667,0.9799599198396793,0.9889380530973452,0.45336008024072216,,,,1.5255783878508657,21.669705390930176,447487120,426.75697326660156,2684922720,2560.5418395996094
7,"0,1,2,3,4",5,0.5399999999999999,0.07358391900204775,0.31214792610775427,0.8620342396777442,0.7748677248677249,0.7974314933270157,0.785157600996821,0.9049330069230568,0.7974314933270157,0.6931216931216931,0.9017412935323383,1.0,0.9879275653923542,0.9862204724409449,0.5115810674723061,0.34152212496865597,0.8415245737211635,0.7539435279187818,0.7501406285157128,0.7520087908212743,0.8802470061751544,0.7501406285157128,0.5970149253731343,0.9032663316582915,1.0,0.9779559118236473,0.9705882352941176,0.5456369107321966,,,,1.5081972763588178,21.297142505645752,447487120,426.75697326660156,3132409840,2987.298812866211
8,"0,1,2,3,4",5,0.59,0.0712273058396736,0.3205898319486405,0.8600201409869084,0.7730111008325624,0.7719043670536208,0.7724553366095553,0.9027020979757299,0.7719043670536208,0.6296296296296297,0.914179104477612,1.0,0.9879275653923542,0.9876796714579056,0.4904330312185297,0.3312594032096289,0.8535606820461384,0.7766885066502048,0.746521788044701,0.7597511058295372,0.8879628240706018,0.746521788044701,0.5671641791044776,0.9258793969849246,0.9966666666666667,0.9839679358717435,0.980806142034549,0.522567703109328,,,,1.5379167293602778,21.324475526809692,447487120,426.75697326660156,3579896960,3414.0557861328125
9,"0,1,2,3,4",5,0.6799999999999999,0.07247469614281377,0.3460645416351964,0.865055387713998,0.781926735478648,0.7750138197899392,0.7783807011232362,0.9064597646687199,0.7750138197899392,0.6296296296296297,0.9203980099502488,0.9966442953020134,0.9778672032193159,0.983402489626556,0.48539778449144005,0.3514077388415246,0.8555667001003009,0.7797254084115397,0.7514969124228106,0.7640112563448439,0.8905597639940999,0.7514969124228106,0.5771144278606966,0.9258793969849246,0.9966666666666667,0.9799599198396793,0.97678916827853,0.518555667001003,,,,1.5343084762124142,21.684401273727417,447487120,426.75697326660156,4027384080,3840.812759399414
10,"0,1,2,3,4",5,0.58,0.06963098367466594,0.33705912087739176,0.8539778449144008,0.7627373212765695,0.7803146963594725,0.7708868715639396,0.9019518808076021,0.7803146963594725,0.6613756613756614,0.8992537313432836,0.9932885906040269,0.9798792756539235,0.9805068226120858,0.5166163141993958,0.3329451244358074,0.8555667001003009,0.7760850253807107,0.771950548763719,0.7739826954320475,0.891084777119428,0.771950548763719,0.6318407960199005,0.9120603015075377,1.0,0.9779559118236473,0.9704251386321626,0.5426278836509528,,,,1.507973566513281,21.39305543899536,447487120,426.75697326660156,4474871200,4267.569732666016
